Label,# PSMs,# Peptides,# Unique Peptides,Accession,Coverage [%],Description,Gene
IGF2R,5,3,3,P11717,1,Cation-independent mannose-6-phosphate receptor OS=Homo sapiens OX=9606 GN=IGF2R PE=1 SV=3,IGF2R
CAVIN1,26,8,8,Q6NZI2,27,Caveolae-associated protein 1 OS=Homo sapiens OX=9606 GN=CAVIN1 PE=1 SV=1,CAVIN1
CAV1,6,3,3,Q03135,20,Caveolin-1 OS=Homo sapiens OX=9606 GN=CAV1 PE=1 SV=4,CAV1
CD44,13,5,5,P16070,8,CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3,CD44
CCAR2,33,15,15,Q8N163,24,Cell cycle and apoptosis regulator protein 2 OS=Homo sapiens OX=9606 GN=CCAR2 PE=1 SV=2,CCAR2
CDC42,11,6,5,P60953,36,Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2,CDC42
CDC5L,15,9,9,Q99459,15,Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2,CDC5L
CCAR1,4,2,2,Q8IX12,2,Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2,CCAR1
LYAR,8,3,3,Q9NX58,9,Cell growth-regulating nucleolar protein OS=Homo sapiens OX=9606 GN=LYAR PE=1 SV=2,LYAR
CENPV,8,5,5,Q7Z7K6,36,Centromere protein V OS=Homo sapiens OX=9606 GN=CENPV PE=1 SV=1,CENPV
CLIC1,8,4,4,O00299,26,Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4,CLIC1
CLIC4,15,7,7,Q9Y696,37,Chloride intracellular channel protein 4 OS=Homo sapiens OX=9606 GN=CLIC4 PE=1 SV=4,CLIC4
PCYT1A,5,3,3,P49585,13,Choline-phosphate cytidylyltransferase A OS=Homo sapiens OX=9606 GN=PCYT1A PE=1 SV=2,PCYT1A
CSPG4,21,15,15,Q6UVK1,9,Chondroitin sulfate proteoglycan 4 OS=Homo sapiens OX=9606 GN=CSPG4 PE=1 SV=2,CSPG4
CHTOP,14,2,2,Q9Y3Y2,10,Chromatin target of PRMT1 protein OS=Homo sapiens OX=9606 GN=CHTOP PE=1 SV=2,CHTOP
CBX1,37,3,2,P83916,18,Chromobox protein homolog 1 OS=Homo sapiens OX=9606 GN=CBX1 PE=1 SV=1,CBX1
CBX3,127,10,8,Q13185,62,Chromobox protein homolog 3 OS=Homo sapiens OX=9606 GN=CBX3 PE=1 SV=4,CBX3
CBX5,63,7,6,P45973,39,Chromobox protein homolog 5 OS=Homo sapiens OX=9606 GN=CBX5 PE=1 SV=1,CBX5
CHD1,13,6,3,O14646,3,Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2,CHD1
CHD4,31,11,11,Q14839,7,Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2,CHD4
CLTC,282,68,68,Q00610,52,Clathrin heavy chain 1 OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=5,CLTC
CLINT1,3,2,2,Q14677,4,Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1,CLINT1
NUDT21,11,4,4,O43809,17,Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1,NUDT21
CPSF6,8,4,4,Q16630,10,Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens OX=9606 GN=CPSF6 PE=1 SV=2,CPSF6
CPSF7,5,2,2,Q8N684,5,Cleavage and polyadenylation specificity factor subunit 7 OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1,CPSF7
COTL1,10,4,4,Q14019,29,Coactosin-like protein OS=Homo sapiens OX=9606 GN=COTL1 PE=1 SV=3,COTL1
COPA,29,15,15,P53621,13,Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2,COPA
COPB1,31,15,15,P53618,21,Coatomer subunit beta OS=Homo sapiens OX=9606 GN=COPB1 PE=1 SV=3,COPB1
COPB2,17,9,9,P35606,12,Coatomer subunit beta' OS=Homo sapiens OX=9606 GN=COPB2 PE=1 SV=2,COPB2
COPG1,24,15,15,Q9Y678,24,Coatomer subunit gamma-1 OS=Homo sapiens OX=9606 GN=COPG1 PE=1 SV=1,COPG1
CFL1,61,9,6,P23528,55,Cofilin-1 OS=Homo sapiens OX=9606 GN=CFL1 PE=1 SV=3,CFL1
CCDC124,5,2,2,Q96CT7,13,Coiled-coil domain-containing protein 124 OS=Homo sapiens OX=9606 GN=CCDC124 PE=1 SV=1,CCDC124
CCDC71L,24,6,6,Q8N9Z2,27,Coiled-coil domain-containing protein 71L OS=Homo sapiens OX=9606 GN=CCDC71L PE=1 SV=2,CCDC71L
CSDE1,9,4,4,O75534,6,Cold shock domain-containing protein E1 OS=Homo sapiens OX=9606 GN=CSDE1 PE=1 SV=2,CSDE1
CIRBP,4,2,2,Q14011,13,Cold-inducible RNA-binding protein OS=Homo sapiens OX=9606 GN=CIRBP PE=1 SV=1,CIRBP
COL1A1,209,43,43,P02452,43,Collagen alpha-1(I) chain OS=Homo sapiens OX=9606 GN=COL1A1 PE=1 SV=5,COL1A1
COL3A1,16,8,8,P02461,7,Collagen alpha-1(III) chain OS=Homo sapiens OX=9606 GN=COL3A1 PE=1 SV=4,COL3A1
COL5A1,5,3,3,P20908,2,Collagen alpha-1(V) chain OS=Homo sapiens OX=9606 GN=COL5A1 PE=1 SV=3,COL5A1
COL6A1,201,30,30,P12109,40,Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=3,COL6A1
COL12A1,210,74,74,Q99715,33,Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2,COL12A1
COL15A1,9,3,3,P39059,2,Collagen alpha-1(XV) chain OS=Homo sapiens OX=9606 GN=COL15A1 PE=1 SV=2,COL15A1
COL16A1,4,2,2,Q07092,2,Collagen alpha-1(XVI) chain OS=Homo sapiens OX=9606 GN=COL16A1 PE=1 SV=2,COL16A1
COL18A1,6,3,3,P39060,3,Collagen alpha-1(XVIII) chain OS=Homo sapiens OX=9606 GN=COL18A1 PE=1 SV=5,COL18A1
COL1A2,106,31,31,P08123,31,Collagen alpha-2(I) chain OS=Homo sapiens OX=9606 GN=COL1A2 PE=1 SV=7,COL1A2
COL4A2,2,2,2,P08572,1,Collagen alpha-2(IV) chain OS=Homo sapiens OX=9606 GN=COL4A2 PE=1 SV=4,COL4A2
COL6A2,170,24,24,P12110,28,Collagen alpha-2(VI) chain OS=Homo sapiens OX=9606 GN=COL6A2 PE=1 SV=4,COL6A2
COL6A3,902,121,121,P12111,47,Collagen alpha-3(VI) chain OS=Homo sapiens OX=9606 GN=COL6A3 PE=1 SV=5,COL6A3
CTHRC1,5,2,2,Q96CG8,7,Collagen triple helix repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=CTHRC1 PE=1 SV=1,CTHRC1
C3,7,2,2,P01024,2,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2,C3
C4A,14,6,6,P0C0L4,4,Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2,C4A
FAM120A,10,7,7,Q9NZB2,9,Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens OX=9606 GN=FAM120A PE=1 SV=2,FAM120A
CPNE1,3,2,2,Q99829,5,Copine-1 OS=Homo sapiens OX=9606 GN=CPNE1 PE=1 SV=1,CPNE1
MACROH2A1,406,17,15,O75367,51,Core histone macro-H2A.1 OS=Homo sapiens OX=9606 GN=MACROH2A1 PE=1 SV=4,MACROH2A1
MACROH2A2,181,16,14,Q9P0M6,57,Core histone macro-H2A.2 OS=Homo sapiens OX=9606 GN=MACROH2A2 PE=1 SV=3,MACROH2A2
CDSN,6,2,2,Q15517,5,Corneodesmosin OS=Homo sapiens OX=9606 GN=CDSN PE=1 SV=3,CDSN
SPRR1B,3,2,2,P22528,27,Cornifin-B OS=Homo sapiens OX=9606 GN=SPRR1B PE=1 SV=2,SPRR1B
CORO1B,5,4,4,Q9BR76,8,Coronin-1B OS=Homo sapiens OX=9606 GN=CORO1B PE=1 SV=1,CORO1B
CORO1C,39,13,13,Q9ULV4,27,Coronin-1C OS=Homo sapiens OX=9606 GN=CORO1C PE=1 SV=1,CORO1C
CKM,2,2,2,P06732,9,Creatine kinase M-type OS=Homo sapiens OX=9606 GN=CKM PE=1 SV=2,CKM
CTBP1,15,4,3,Q13363,11,C-terminal-binding protein 1 OS=Homo sapiens OX=9606 GN=CTBP1 PE=1 SV=2,CTBP1
CTTNBP2NL,5,3,3,Q9P2B4,4,CTTNBP2 N-terminal-like protein OS=Homo sapiens OX=9606 GN=CTTNBP2NL PE=1 SV=2,CTTNBP2NL
CUL4A,9,5,5,Q13619,6,Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A PE=1 SV=3,CUL4A
CAND1,11,4,4,Q86VP6,4,Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens OX=9606 GN=CAND1 PE=1 SV=2,CAND1
CSRP1,49,10,10,P21291,64,Cysteine and glycine-rich protein 1 OS=Homo sapiens OX=9606 GN=CSRP1 PE=1 SV=3,CSRP1
CSRP2,18,4,4,Q16527,25,Cysteine and glycine-rich protein 2 OS=Homo sapiens OX=9606 GN=CSRP2 PE=1 SV=3,CSRP2
CRIP2,7,3,3,P52943,32,Cysteine-rich protein 2 OS=Homo sapiens OX=9606 GN=CRIP2 PE=1 SV=1,CRIP2
ACO1,5,3,3,P21399,6,Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3,ACO1
DYNC1H1,95,47,47,Q14204,13,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5,DYNC1H1
DYNC1I2,7,3,3,Q13409,6,Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens OX=9606 GN=DYNC1I2 PE=1 SV=3,DYNC1I2
CYFIP1,6,3,3,Q7L576,3,Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1,CYFIP1
CKAP4,349,34,33,Q07065,59,Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2,CKAP4
SPECC1L,2,2,2,Q69YQ0,2,Cytospin-A OS=Homo sapiens OX=9606 GN=SPECC1L PE=1 SV=2,SPECC1L
SPECC1,21,2,2,Q5M775,1,Cytospin-B OS=Homo sapiens OX=9606 GN=SPECC1 PE=1 SV=1,SPECC1
PHGDH,6,2,2,O43175,4,D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4,PHGDH
DAZAP1,11,4,4,Q96EP5,15,DAZ-associated protein 1 OS=Homo sapiens OX=9606 GN=DAZAP1 PE=1 SV=1,DAZAP1
ZNF326,6,3,3,Q5BKZ1,5,DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=2,ZNF326
DMBT1,2,2,2,Q9UGM3,8,Deleted in malignant brain tumors 1 protein OS=Homo sapiens OX=9606 GN=DMBT1 PE=1 SV=2,DMBT1
ALDH18A1,5,5,5,P54886,8,Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens OX=9606 GN=ALDH18A1 PE=1 SV=2,ALDH18A1
SGCD,2,2,2,Q92629,6,Delta-sarcoglycan OS=Homo sapiens OX=9606 GN=SGCD PE=1 SV=2,SGCD
DNTTIP2,16,2,2,Q5QJE6,4,Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens OX=9606 GN=DNTTIP2 PE=1 SV=2,DNTTIP2
DCD,98,4,4,P81605,35,Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2,DCD
DSC1,30,7,7,Q08554,10,Desmocollin-1 OS=Homo sapiens OX=9606 GN=DSC1 PE=1 SV=2,DSC1
DSC3,4,3,3,Q14574,5,Desmocollin-3 OS=Homo sapiens OX=9606 GN=DSC3 PE=1 SV=3,DSC3
DSG1,199,21,21,Q02413,28,Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2,DSG1
DSP,557,91,91,P15924,35,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3,DSP
DSTN,15,3,2,P60981,19,Destrin OS=Homo sapiens OX=9606 GN=DSTN PE=1 SV=3,DSTN
DRG1,5,3,3,Q9Y295,10,Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=DRG1 PE=1 SV=1,DRG1
DPYSL2,15,10,8,Q16555,23,Dihydropyrimidinase-related protein 2 OS=Homo sapiens OX=9606 GN=DPYSL2 PE=1 SV=1,DPYSL2
DNMT1,35,9,9,P26358,7,DNA (cytosine-5)-methyltransferase 1 OS=Homo sapiens OX=9606 GN=DNMT1 PE=1 SV=2,DNMT1
DDB1,4,3,3,Q16531,3,DNA damage-binding protein 1 OS=Homo sapiens OX=9606 GN=DDB1 PE=1 SV=1,DDB1
APOBEC3C,2,2,2,Q9NRW3,13,DNA dC->dU-editing enzyme APOBEC-3C OS=Homo sapiens OX=9606 GN=APOBEC3C PE=1 SV=2,APOBEC3C
XPC,4,2,2,Q01831,2,DNA repair protein complementing XP-C cells OS=Homo sapiens OX=9606 GN=XPC PE=1 SV=4,XPC
RAD50,9,6,6,Q92878,6,DNA repair protein RAD50 OS=Homo sapiens OX=9606 GN=RAD50 PE=1 SV=1,RAD50
MCM3,5,4,4,P25205,5,DNA replication licensing factor MCM3 OS=Homo sapiens OX=9606 GN=MCM3 PE=1 SV=3,MCM3
TOP1,303,29,29,P11387,37,DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2,TOP1
TOP2A,174,28,18,P11388,19,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,TOP2A
TOP2B,245,34,24,Q02880,24,DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3,TOP2B
APEX1,191,16,16,P27695,58,DNA-(apurinic or apyrimidinic site) endonuclease OS=Homo sapiens OX=9606 GN=APEX1 PE=1 SV=2,APEX1
MPG,7,4,4,P29372,17,DNA-3-methyladenine glycosylase OS=Homo sapiens OX=9606 GN=MPG PE=1 SV=3,MPG
PRKDC,249,97,97,P78527,29,DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3,PRKDC
POLR2A,23,10,10,P24928,6,DNA-directed RNA polymerase II subunit RPB1 OS=Homo sapiens OX=9606 GN=POLR2A PE=1 SV=2,POLR2A
POLR2B,7,6,6,P30876,7,DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=1,POLR2B
DNAJA2,4,2,2,O60884,5,DnaJ homolog subfamily A member 2 OS=Homo sapiens OX=9606 GN=DNAJA2 PE=1 SV=1,DNAJA2
DNAJB11,5,3,3,Q9UBS4,13,DnaJ homolog subfamily B member 11 OS=Homo sapiens OX=9606 GN=DNAJB11 PE=1 SV=1,DNAJB11
DNAJC8,6,2,2,O75937,8,DnaJ homolog subfamily C member 8 OS=Homo sapiens OX=9606 GN=DNAJC8 PE=1 SV=2,DNAJC8
DNAJC9,36,7,7,Q8WXX5,36,DnaJ homolog subfamily C member 9 OS=Homo sapiens OX=9606 GN=DNAJC9 PE=1 SV=1,DNAJC9
DDOST,5,2,2,P39656,9,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4,DDOST
RPN1,247,23,23,P04843,44,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens OX=9606 GN=RPN1 PE=1 SV=1,RPN1
RPN2,17,6,6,P04844,16,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3,RPN2
STT3A,21,7,7,P46977,9,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A OS=Homo sapiens OX=9606 GN=STT3A PE=1 SV=2,STT3A
STAU1,3,2,2,O95793,3,Double-stranded RNA-binding protein Staufen homolog 1 OS=Homo sapiens OX=9606 GN=STAU1 PE=1 SV=2,STAU1
ADAR,23,8,8,P55265,8,Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens OX=9606 GN=ADAR PE=1 SV=4,ADAR
DBN1,25,9,9,Q16643,19,Drebrin OS=Homo sapiens OX=9606 GN=DBN1 PE=1 SV=4,DBN1
DCTN2,5,2,2,Q13561,7,Dynactin subunit 2 OS=Homo sapiens OX=9606 GN=DCTN2 PE=1 SV=4,DCTN2
DYNLL1,11,4,2,P63167,57,"Dynein light chain 1, cytoplasmic OS=Homo sapiens OX=9606 GN=DYNLL1 PE=1 SV=1",DYNLL1
DST,8,6,5,Q03001,1,Dystonin OS=Homo sapiens OX=9606 GN=DST PE=1 SV=4,DST
RANBP2,14,13,13,P49792,6,E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2,RANBP2
TRIM25,3,2,2,Q14258,4,E3 ubiquitin/ISG15 ligase TRIM25 OS=Homo sapiens OX=9606 GN=TRIM25 PE=1 SV=2,TRIM25
TRIM22,25,3,3,Q8IYM9,6,E3 ubiquitin-protein ligase TRIM22 OS=Homo sapiens OX=9606 GN=TRIM22 PE=1 SV=1,TRIM22
TRIP12,10,2,2,Q14669,1,E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1,TRIP12
UHRF1,30,7,7,Q96T88,10,E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens OX=9606 GN=UHRF1 PE=1 SV=1,UHRF1
UHRF2,2,2,2,Q96PU4,3,E3 ubiquitin-protein ligase UHRF2 OS=Homo sapiens OX=9606 GN=UHRF2 PE=1 SV=1,UHRF2
EEA1,9,7,7,Q15075,5,Early endosome antigen 1 OS=Homo sapiens OX=9606 GN=EEA1 PE=1 SV=2,EEA1
EFEMP2,4,3,3,O95967,8,EGF-containing fibulin-like extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=EFEMP2 PE=1 SV=3,EFEMP2
EHD2,9,5,4,Q9NZN4,10,EH domain-containing protein 2 OS=Homo sapiens OX=9606 GN=EHD2 PE=1 SV=2,EHD2
GCN1,19,11,11,Q92616,6,eIF-2-alpha kinase activator GCN1 OS=Homo sapiens OX=9606 GN=GCN1 PE=1 SV=6,GCN1
ELAVL1,57,10,10,Q15717,34,ELAV-like protein 1 OS=Homo sapiens OX=9606 GN=ELAVL1 PE=1 SV=2,ELAVL1
EEF1A1,254,15,7,P68104,51,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1,EEF1A1
EEF1B2,9,4,3,P24534,25,Elongation factor 1-beta OS=Homo sapiens OX=9606 GN=EEF1B2 PE=1 SV=3,EEF1B2
EEF1D,36,10,9,P29692,46,Elongation factor 1-delta OS=Homo sapiens OX=9606 GN=EEF1D PE=1 SV=5,EEF1D
EEF1G,68,19,19,P26641,46,Elongation factor 1-gamma OS=Homo sapiens OX=9606 GN=EEF1G PE=1 SV=3,EEF1G
EEF2,158,33,32,P13639,44,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4,EEF2
EMD,63,9,9,P50402,46,Emerin OS=Homo sapiens OX=9606 GN=EMD PE=1 SV=1,EMD
EMILIN1,77,27,27,Q9Y6C2,34,EMILIN-1 OS=Homo sapiens OX=9606 GN=EMILIN1 PE=1 SV=3,EMILIN1
SH3GL1,2,2,2,Q99961,4,Endophilin-A2 OS=Homo sapiens OX=9606 GN=SH3GL1 PE=1 SV=1,SH3GL1
HSPA5,259,30,28,P11021,50,Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2,HSPA5
ERP29,3,2,2,P30040,10,Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4,ERP29
ERP44,5,3,3,Q9BS26,9,Endoplasmic reticulum resident protein 44 OS=Homo sapiens OX=9606 GN=ERP44 PE=1 SV=1,ERP44
HSP90B1,84,29,28,P14625,47,Endoplasmin OS=Homo sapiens OX=9606 GN=HSP90B1 PE=1 SV=1,HSP90B1
EDF1,20,4,4,O60869,27,Endothelial differentiation-related factor 1 OS=Homo sapiens OX=9606 GN=EDF1 PE=1 SV=1,EDF1
EDC4,3,2,2,Q6P2E9,3,Enhancer of mRNA-decapping protein 4 OS=Homo sapiens OX=9606 GN=EDC4 PE=1 SV=1,EDC4
ERH,15,3,3,P84090,33,Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1,ERH
EPPK1,48,11,4,P58107,15,Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=3,EPPK1
EIF4A1,162,20,18,P60842,56,Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1,EIF4A1
EIF4A3,54,11,9,P38919,28,Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4,EIF4A3
ETF1,8,4,4,P62495,11,Eukaryotic peptide chain release factor subunit 1 OS=Homo sapiens OX=9606 GN=ETF1 PE=1 SV=3,ETF1
EIF1AX,7,3,3,P47813,22,"Eukaryotic translation initiation factor 1A, X-chromosomal OS=Homo sapiens OX=9606 GN=EIF1AX PE=1 SV=2",EIF1AX
EIF2S1,20,5,5,P05198,17,Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3,EIF2S1
EIF2S2,20,5,5,P20042,16,Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens OX=9606 GN=EIF2S2 PE=1 SV=2,EIF2S2
EIF2S3,17,4,4,P41091,14,Eukaryotic translation initiation factor 2 subunit 3 OS=Homo sapiens OX=9606 GN=EIF2S3 PE=1 SV=3,EIF2S3
EIF3A,83,22,22,Q14152,19,Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1,EIF3A
EIF3B,36,10,10,P55884,13,Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3,EIF3B
EIF3C,40,12,12,Q99613,16,Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1,EIF3C
EIF3D,29,7,7,O15371,19,Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,EIF3D
EIF3E,9,6,6,P60228,16,Eukaryotic translation initiation factor 3 subunit E OS=Homo sapiens OX=9606 GN=EIF3E PE=1 SV=1,EIF3E
EIF3F,11,3,3,O00303,11,Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,EIF3F
EIF3G,8,2,2,O75821,8,Eukaryotic translation initiation factor 3 subunit G OS=Homo sapiens OX=9606 GN=EIF3G PE=1 SV=2,EIF3G
EIF3H,6,4,4,O15372,15,Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1,EIF3H
EIF3I,5,2,2,Q13347,7,Eukaryotic translation initiation factor 3 subunit I OS=Homo sapiens OX=9606 GN=EIF3I PE=1 SV=1,EIF3I
EIF3L,33,10,10,Q9Y262,18,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1,EIF3L
EIF4G1,31,15,15,Q04637,11,Eukaryotic translation initiation factor 4 gamma 1 OS=Homo sapiens OX=9606 GN=EIF4G1 PE=1 SV=4,EIF4G1
EIF4G2,14,9,9,P78344,11,Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1,EIF4G2
EIF4B,5,3,3,P23588,6,Eukaryotic translation initiation factor 4B OS=Homo sapiens OX=9606 GN=EIF4B PE=1 SV=2,EIF4B
EIF4E,4,3,3,P06730,15,Eukaryotic translation initiation factor 4E OS=Homo sapiens OX=9606 GN=EIF4E PE=1 SV=2,EIF4E
EIF4H,8,3,3,Q15056,14,Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5,EIF4H
EIF5A,69,10,10,P63241,68,Eukaryotic translation initiation factor 5A-1 OS=Homo sapiens OX=9606 GN=EIF5A PE=1 SV=2,EIF5A
EIF5B,4,4,4,O60841,6,Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4,EIF5B
EIF6,10,5,5,P56537,41,Eukaryotic translation initiation factor 6 OS=Homo sapiens OX=9606 GN=EIF6 PE=1 SV=1,EIF6
EXOSC10,2,2,2,Q01780,2,Exosome component 10 OS=Homo sapiens OX=9606 GN=EXOSC10 PE=1 SV=2,EXOSC10
MTREX,7,4,4,P42285,5,Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,MTREX
XPO1,44,23,23,O14980,29,Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1,XPO1
CSE1L,12,7,7,P55060,8,Exportin-2 OS=Homo sapiens OX=9606 GN=CSE1L PE=1 SV=3,CSE1L
ESYT1,6,3,3,Q9BSJ8,4,Extended synaptotagmin-1 OS=Homo sapiens OX=9606 GN=ESYT1 PE=1 SV=1,ESYT1
ECM1,7,2,2,Q16610,5,Extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=ECM1 PE=1 SV=2,ECM1
EZR,62,10,2,P15311,15,Ezrin OS=Homo sapiens OX=9606 GN=EZR PE=1 SV=4,EZR
SUPT16H,200,27,27,Q9Y5B9,28,FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1,SUPT16H
SSRP1,126,18,18,Q08945,31,FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,SSRP1
CAPZA1,8,5,4,P52907,25,F-actin-capping protein subunit alpha-1 OS=Homo sapiens OX=9606 GN=CAPZA1 PE=1 SV=3,CAPZA1
CAPZB,8,4,4,P47756,17,F-actin-capping protein subunit beta OS=Homo sapiens OX=9606 GN=CAPZB PE=1 SV=4,CAPZB
FUBP1,149,22,17,Q96AE4,41,Far upstream element-binding protein 1 OS=Homo sapiens OX=9606 GN=FUBP1 PE=1 SV=3,FUBP1
KHSRP,110,21,18,Q92945,37,Far upstream element-binding protein 2 OS=Homo sapiens OX=9606 GN=KHSRP PE=1 SV=4,KHSRP
FUBP3,54,13,9,Q96I24,30,Far upstream element-binding protein 3 OS=Homo sapiens OX=9606 GN=FUBP3 PE=1 SV=2,FUBP3
FSCN1,28,12,12,Q16658,29,Fascin OS=Homo sapiens OX=9606 GN=FSCN1 PE=1 SV=3,FSCN1
FASN,25,13,13,P49327,6,Fatty acid synthase OS=Homo sapiens OX=9606 GN=FASN PE=1 SV=3,FASN
NCCRP1,12,3,3,Q6ZVX7,10,F-box only protein 50 OS=Homo sapiens OX=9606 GN=NCCRP1 PE=1 SV=1,NCCRP1
TBL1XR1,2,2,2,Q9BZK7,4,F-box-like/WD repeat-containing protein TBL1XR1 OS=Homo sapiens OX=9606 GN=TBL1XR1 PE=1 SV=1,TBL1XR1
