Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,calc. pI
SENP3,574,395,12,12,12,Q9H4L4,30,Sentrin-specific protease 3 OS=Homo sapiens GN=SENP3 PE=1 SV=2,SENP3,65.0,14737,8.56
RUVBL1,456,505,13,13,13,Q9Y265,40,RuvB-like 1 OS=Homo sapiens GN=RUVBL1 PE=1 SV=1,RUVBL1,50.2,14736,6.42
TFAP2A,437,478,15,15,15,P05549,45,Transcription factor AP-2-alpha OS=Homo sapiens GN=TFAP2A PE=1 SV=1,TFAP2A,48.0,14720,8.02
ELAVL1,326,455,13,13,13,Q15717,45,ELAV-like protein 1 OS=Homo sapiens GN=ELAVL1 PE=1 SV=2,ELAVL1,36.1,14695,9.17
RNF2,336,486,12,12,10,Q99496,49,E3 ubiquitin-protein ligase RING2 OS=Homo sapiens GN=RNF2 PE=1 SV=1,RNF2,37.6,14682,6.84
CENPV (1),275,474,9,9,2,Q7Z7K6,53,Centromere protein V OS=Homo sapiens GN=CENPV PE=1 SV=1,CENPV,29.9,14674,9.73
NONO,471,649,20,20,18,Q15233,57,Non-POU domain-containing octamer-binding protein OS=Homo sapiens GN=NONO PE=1 SV=4,NONO,54.2,14654,8.95
C9orf114,376,445,14,14,14,Q5T280,52,Uncharacterized protein C9orf114 OS=Homo sapiens GN=C9orf114 PE=1 SV=3,C9orf114,42.0,14630,7.43
IGF2BP3,579,372,13,13,12,O00425,30,Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens GN=IGF2BP3 PE=1 SV=2,IGF2BP3,63.7,14610,8.87
RPLP1,114,382,3,3,2,P05386,67,60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1,RPLP1,11.5,14588,4.32
RPL32,135,541,7,7,7,P62910,44,60S ribosomal protein L32 OS=Homo sapiens GN=RPL32 PE=1 SV=2,RPL32,15.9,14524,11.33
KPNB1,876,414,15,15,15,Q14974,25,Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2,KPNB1,97.1,14516,4.78
ZFC3H1,1989,473,27,27,27,O60293,17,Zinc finger C3H1 domain-containing protein OS=Homo sapiens GN=ZFC3H1 PE=1 SV=3,ZFC3H1,226.2,14504,8.13
RPS17L,135,427,7,7,7,P0CW22,56,40S ribosomal protein S17-like OS=Homo sapiens GN=RPS17L PE=1 SV=1,RPS17L,15.5,14422,9.85
RBM27,1060,465,21,21,20,Q9P2N5,29,RNA-binding protein 27 OS=Homo sapiens GN=RBM27 PE=1 SV=2,RBM27,118.6,14412,9.19
ASPH,758,419,15,15,15,Q12797,29,Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3,ASPH,85.8,14336,5.01
TFAM,246,799,12,12,12,Q00059,37,"Transcription factor A, mitochondrial OS=Homo sapiens GN=TFAM PE=1 SV=1",TFAM,29.1,14312,9.72
TRIM29,588,556,22,22,22,Q14134,44,Tripartite motif-containing protein 29 OS=Homo sapiens GN=TRIM29 PE=1 SV=2,TRIM29,65.8,14260,7.15
WDR18,432,577,11,11,11,Q9BV38,33,WD repeat-containing protein 18 OS=Homo sapiens GN=WDR18 PE=1 SV=2,WDR18,47.4,14193,6.7
FOSL2,326,349,11,11,11,P15408,43,Fos-related antigen 2 OS=Homo sapiens GN=FOSL2 PE=1 SV=1,FOSL2,35.2,14182,7.49
RPSA,295,301,10,10,10,P08865,46,40S ribosomal protein SA OS=Homo sapiens GN=RPSA PE=1 SV=4,RPSA,32.8,14169,4.87
C7orf50,194,454,9,9,9,Q9BRJ6,62,Uncharacterized protein C7orf50 OS=Homo sapiens GN=C7orf50 PE=1 SV=1,C7orf50,22.1,14157,9.64
ACTR3,418,587,16,16,12,P61158,53,Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3,ACTR3,47.3,14091,5.88
INF2,1249,420,26,26,26,Q27J81,33,Inverted formin-2 OS=Homo sapiens GN=INF2 PE=1 SV=2,INF2,135.5,14013,5.38
DDX47,455,461,13,13,13,Q9H0S4,35,Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens GN=DDX47 PE=1 SV=1,DDX47,50.6,13966,9.1
TPM1 (2),245,551,14,14,3,P09493-5,35,Isoform 5 of Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1,TPM1,28.4,13917,4.77
Krt13,437,507,12,12,2,P08730-1,16,"SWISS-PROT:P08730-1 Tax_Id=10090 Gene_Symbol=Krt13 Isoform 1 of Keratin, type I cytoskeletal 13",Krt13,47.7,13917,4.86
RBBP4,425,523,16,16,10,Q09028,60,Histone-binding protein RBBP4 OS=Homo sapiens GN=RBBP4 PE=1 SV=3,RBBP4,47.6,13867,4.89
MECP2,486,445,15,15,15,P51608,45,Methyl-CpG-binding protein 2 OS=Homo sapiens GN=MECP2 PE=1 SV=1,MECP2,52.4,13849,9.95
RPL13,211,464,7,7,7,P26373,31,60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4,RPL13,24.2,13838,11.65
ZBTB21,1066,526,22,22,22,Q9ULJ3,28,Zinc finger and BTB domain-containing protein 21 OS=Homo sapiens GN=ZBTB21 PE=1 SV=2,ZBTB21,118.8,13803,8.29
PFKP,784,494,22,22,19,Q01813,38,6-phosphofructokinase type C OS=Homo sapiens GN=PFKP PE=1 SV=2,PFKP,85.5,13673,7.55
RPL18A,176,530,11,11,11,Q02543,54,60S ribosomal protein L18a OS=Homo sapiens GN=RPL18A PE=1 SV=2,RPL18A,20.7,13629,10.71
DHX8,1220,458,23,23,22,Q14562,26,ATP-dependent RNA helicase DHX8 OS=Homo sapiens GN=DHX8 PE=1 SV=1,DHX8,139.2,13577,8.32
HNRNPAB,332,444,9,9,8,Q99729-2,26,Isoform 2 of Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens GN=HNRNPAB,HNRNPAB,35.9,13533,6.95
TPM4 (2),284,543,17,17,2,P67936-2,45,Isoform 2 of Tropomyosin alpha-4 chain OS=Homo sapiens GN=TPM4,TPM4,32.7,13497,4.73
ADAR,1226,619,29,29,3,P55265,31,Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4,ADAR,136.0,13457,8.65
RPN1,607,475,20,20,20,P04843,45,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Homo sapiens GN=RPN1 PE=1 SV=1,RPN1,68.5,13417,6.38
SP1,785,428,8,8,8,P08047,27,Transcription factor Sp1 OS=Homo sapiens GN=SP1 PE=1 SV=3,SP1,80.6,13320,7.34
CHERP,916,445,16,16,16,Q8IWX8,27,Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens GN=CHERP PE=1 SV=3,CHERP,103.6,13302,9.04
RPL23A,156,446,8,8,8,P62750,46,60S ribosomal protein L23a OS=Homo sapiens GN=RPL23A PE=1 SV=1,RPL23A,17.7,13297,10.45
RBBP5,538,561,18,18,18,Q15291,42,Retinoblastoma-binding protein 5 OS=Homo sapiens GN=RBBP5 PE=1 SV=2,RBBP5,59.1,13262,5.1
EED,441,610,18,18,18,O75530,46,Polycomb protein EED OS=Homo sapiens GN=EED PE=1 SV=2,EED,50.2,13241,7.03
RPL24,157,299,5,5,5,P83731,31,60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1,RPL24,17.8,13210,11.25
RPS16,146,524,8,8,8,P62249,52,40S ribosomal protein S16 OS=Homo sapiens GN=RPS16 PE=1 SV=2,RPS16,16.4,13208,10.21
HIST2H2AB,130,687,5,5,2,Q8IUE6,55,Histone H2A type 2-B OS=Homo sapiens GN=HIST2H2AB PE=1 SV=3,HIST2H2AB,14.0,13140,10.89
RPS27A,156,495,7,7,7,P62979,52,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2,RPS27A,18.0,13099,9.64
HNRNPD,355,474,9,9,7,Q14103,25,Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1,HNRNPD,38.4,13048,7.81
LYN,491,477,15,15,12,P07948-2,37,Isoform 2 of Tyrosine-protein kinase Lyn OS=Homo sapiens GN=LYN,LYN,56.0,12929,6.49
RAP2C,183,313,9,9,6,Q9Y3L5,62,Ras-related protein Rap-2c OS=Homo sapiens GN=RAP2C PE=1 SV=1,RAP2C,20.7,12902,4.94
RCN1,331,405,12,12,12,Q15293,50,Reticulocalbin-1 OS=Homo sapiens GN=RCN1 PE=1 SV=1,RCN1,38.9,12902,5.0
H1FX,213,377,7,7,7,Q92522,31,Histone H1x OS=Homo sapiens GN=H1FX PE=1 SV=1,H1FX,22.5,12893,10.76
PCBP2,365,431,8,8,4,Q15366,30,Poly(rC)-binding protein 2 OS=Homo sapiens GN=PCBP2 PE=1 SV=1,PCBP2,38.6,12891,6.79
RPL36,105,424,7,7,7,Q9Y3U8,37,60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3,RPL36,12.2,12863,11.59
RPL8,257,477,8,8,8,P62917,30,60S ribosomal protein L8 OS=Homo sapiens GN=RPL8 PE=1 SV=2,RPL8,28.0,12838,11.03
HNRNPDL,420,413,7,7,5,O14979,21,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=3,HNRNPDL,46.4,12805,9.57
SSBP1,148,353,7,7,7,Q04837,50,"Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens GN=SSBP1 PE=1 SV=1",SSBP1,17.2,12801,9.6
HADHA,763,441,21,21,21,P40939,39,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens GN=HADHA PE=1 SV=2",HADHA,82.9,12781,9.04
TCOF1,1488,538,29,29,3,Q13428,26,Treacle protein OS=Homo sapiens GN=TCOF1 PE=1 SV=3,TCOF1,152.0,12752,9.04
CENPV (2),272,389,9,9,2,Q7Z7K6-3,53,Isoform 3 of Centromere protein V OS=Homo sapiens GN=CENPV,CENPV,29.7,12676,9.73
PACSIN3,424,373,14,14,14,Q9UKS6,44,Protein kinase C and casein kinase substrate in neurons protein 3 OS=Homo sapiens GN=PACSIN3 PE=1 SV=2,PACSIN3,48.5,12561,6.18
ACTR2,394,409,13,13,13,P61160,43,Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1,ACTR2,44.7,12556,6.74
UBP1,540,306,15,15,14,Q9NZI7,34,Upstream-binding protein 1 OS=Homo sapiens GN=UBP1 PE=2 SV=1,UBP1,60.5,12525,6.35
SRP68,627,364,17,17,17,Q9UHB9,38,Signal recognition particle subunit SRP68 OS=Homo sapiens GN=SRP68 PE=1 SV=2,SRP68,70.7,12521,8.56
SQRDL,450,362,16,16,16,Q9Y6N5,42,"Sulfide:quinone oxidoreductase, mitochondrial OS=Homo sapiens GN=SQRDL PE=1 SV=1",SQRDL,49.9,12505,9.11
SNRPB,240,335,7,7,7,P14678,25,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=1 SV=2,SNRPB,24.6,12486,11.19
PABPN1,306,381,8,8,8,Q86U42,56,Polyadenylate-binding protein 2 OS=Homo sapiens GN=PABPN1 PE=1 SV=3,PABPN1,32.7,12472,5.06
MTF2,593,515,15,15,15,Q9Y483,32,Metal-response element-binding transcription factor 2 OS=Homo sapiens GN=MTF2 PE=1 SV=2,MTF2,67.1,12425,8.72
ZMYND11,602,477,19,19,19,Q15326,40,Zinc finger MYND domain-containing protein 11 OS=Homo sapiens GN=ZMYND11 PE=1 SV=2,ZMYND11,70.9,12395,8.53
TPM1 (1),284,635,18,18,6,P09493-3,46,Isoform 3 of Tropomyosin alpha-1 chain OS=Homo sapiens GN=TPM1,TPM1,32.9,12390,4.78
HNRNPUL1,856,493,20,20,19,Q9BUJ2,31,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=2,HNRNPUL1,95.7,12367,6.92
PLEKHG3,1219,520,26,26,26,A1L390,30,Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens GN=PLEKHG3 PE=1 SV=1,PLEKHG3,134.3,12329,6.55
RPL11,178,434,7,7,7,P62913,33,60S ribosomal protein L11 OS=Homo sapiens GN=RPL11 PE=1 SV=2,RPL11,20.2,12235,9.6
SSFA2,1259,345,25,25,25,P28290,26,Sperm-specific antigen 2 OS=Homo sapiens GN=SSFA2 PE=1 SV=3,SSFA2,138.3,12211,5.19
GOLGA8R,631,528,19,19,2,I6L899,39,Golgin subfamily A member 8R OS=Homo sapiens GN=GOLGA8R PE=3 SV=1,GOLGA8R,71.4,12211,6.39
PRPF6,941,484,22,22,22,O94906,25,Pre-mRNA-processing factor 6 OS=Homo sapiens GN=PRPF6 PE=1 SV=1,PRPF6,106.9,12202,8.25
RPS13,151,499,7,7,7,P62277,44,40S ribosomal protein S13 OS=Homo sapiens GN=RPS13 PE=1 SV=2,RPS13,17.2,12114,10.54
GLUD1,558,489,20,20,20,P00367,41,"Glutamate dehydrogenase 1, mitochondrial OS=Homo sapiens GN=GLUD1 PE=1 SV=2",GLUD1,61.4,12104,7.8
GPATCH4,446,396,15,15,15,Q5T3I0,35,G patch domain-containing protein 4 OS=Homo sapiens GN=GPATCH4 PE=1 SV=2,GPATCH4,50.4,12055,9.63
CPM,443,519,16,16,16,P14384,44,Carboxypeptidase M OS=Homo sapiens GN=CPM PE=1 SV=2,CPM,50.5,12022,7.36
RBM8A,174,375,8,8,8,Q9Y5S9,56,RNA-binding protein 8A OS=Homo sapiens GN=RBM8A PE=1 SV=1,RBM8A,19.9,11932,5.72
USP7,1102,534,25,25,25,Q93009,29,Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens GN=USP7 PE=1 SV=2,USP7,128.2,11883,5.55
A6NP81,632,494,20,20,3,A6NP81,41,Golgin subfamily A member 8-like protein 2 OS=Homo sapiens PE=2 SV=2,,71.5,11777,6.33
HNRNPH3,346,419,12,12,11,P31942,60,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3 PE=1 SV=2,HNRNPH3,36.9,11757,6.87
EEF1A1,462,468,13,13,13,P68104,50,Elongation factor 1-alpha 1 OS=Homo sapiens GN=EEF1A1 PE=1 SV=1,EEF1A1,50.1,11715,9.01
FMR1,632,576,21,21,2,Q06787,42,Fragile X mental retardation protein 1 OS=Homo sapiens GN=FMR1 PE=1 SV=1,FMR1,71.1,11699,7.42
SPEN,3664,629,52,52,52,Q96T58,20,Msx2-interacting protein OS=Homo sapiens GN=SPEN PE=1 SV=1,SPEN,402.0,11690,7.64
KIAA0020,648,549,24,24,24,Q15397,47,Pumilio domain-containing protein KIAA0020 OS=Homo sapiens GN=KIAA0020 PE=1 SV=3,KIAA0020,73.5,11632,9.64
FAM120A,1118,400,22,22,22,Q9NZB2,28,Constitutive coactivator of PPAR-gamma-like protein 1 OS=Homo sapiens GN=FAM120A PE=1 SV=2,FAM120A,121.8,11619,8.88
LPCAT1,534,334,15,15,15,Q8NF37,35,Lysophosphatidylcholine acyltransferase 1 OS=Homo sapiens GN=LPCAT1 PE=1 SV=2,LPCAT1,59.1,11556,6.02
POLRMT,1230,419,24,24,24,O00411,33,"DNA-directed RNA polymerase, mitochondrial OS=Homo sapiens GN=POLRMT PE=1 SV=2",POLRMT,138.5,11513,8.98
RBM17,401,490,16,16,16,Q96I25,48,Splicing factor 45 OS=Homo sapiens GN=RBM17 PE=1 SV=1,RBM17,44.9,11499,5.97
RPS15A,130,341,7,7,7,P62244,52,40S ribosomal protein S15a OS=Homo sapiens GN=RPS15A PE=1 SV=2,RPS15A,14.8,11473,10.13
RBBP7,425,470,13,13,7,Q16576,39,Histone-binding protein RBBP7 OS=Homo sapiens GN=RBBP7 PE=1 SV=1,RBBP7,47.8,11449,5.05
ZNF106,1883,410,24,24,24,Q9H2Y7,18,Zinc finger protein 106 OS=Homo sapiens GN=ZNF106 PE=1 SV=1,ZNF106,208.8,11445,7.15
SKIV2L2,1042,454,24,24,24,P42285,28,Superkiller viralicidic activity 2-like 2 OS=Homo sapiens GN=SKIV2L2 PE=1 SV=3,SKIV2L2,117.7,11348,6.52
RRAS2,204,337,9,9,7,P62070,50,Ras-related protein R-Ras2 OS=Homo sapiens GN=RRAS2 PE=1 SV=1,RRAS2,23.4,11338,6.01
NPM3,178,290,5,5,5,O75607,51,Nucleoplasmin-3 OS=Homo sapiens GN=NPM3 PE=1 SV=3,NPM3,19.3,11305,4.63
TAF15,592,307,7,7,5,Q92804,24,TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1,TAF15,61.8,11283,8.02
RPL17,184,555,7,7,7,P18621,46,60S ribosomal protein L17 OS=Homo sapiens GN=RPL17 PE=1 SV=3,RPL17,21.4,11244,10.17
SURF4,269,237,5,5,5,O15260,25,Surfeit locus protein 4 OS=Homo sapiens GN=SURF4 PE=1 SV=3,SURF4,30.4,11227,7.78
RAD18,495,471,16,16,16,Q9NS91,40,E3 ubiquitin-protein ligase RAD18 OS=Homo sapiens GN=RAD18 PE=1 SV=2,RAD18,56.2,11206,7.58
SKP1,163,432,12,12,12,P63208,83,S-phase kinase-associated protein 1 OS=Homo sapiens GN=SKP1 PE=1 SV=2,SKP1,18.6,11141,4.54
TPM2,284,421,14,14,3,P07951-2,37,Isoform 2 of Tropomyosin beta chain OS=Homo sapiens GN=TPM2,TPM2,33.0,11124,4.67
RBM34,430,468,18,18,18,P42696,48,RNA-binding protein 34 OS=Homo sapiens GN=RBM34 PE=1 SV=2,RBM34,48.5,11053,10.11
TRA2A,282,381,9,9,6,Q13595,28,Transformer-2 protein homolog alpha OS=Homo sapiens GN=TRA2A PE=1 SV=1,TRA2A,32.7,11035,11.27
RPL19,196,277,6,6,6,P84098,26,60S ribosomal protein L19 OS=Homo sapiens GN=RPL19 PE=1 SV=1,RPL19,23.5,11032,11.47
SNRPA1,255,333,11,11,11,P09661,46,U2 small nuclear ribonucleoprotein A' OS=Homo sapiens GN=SNRPA1 PE=1 SV=2,SNRPA1,28.4,11021,8.62
KPNA2,529,353,13,13,13,P52292,40,Importin subunit alpha-1 OS=Homo sapiens GN=KPNA2 PE=1 SV=1,KPNA2,57.8,11010,5.4
Q9UE12,416,394,20,20,4,Q9UE12,55,TREMBL:Q9UE12 Type I hair keratin 1 - Homo sapiens (Human).,,47.2,11008,4.88
MAGOH,146,500,10,10,10,P61326,68,Protein mago nashi homolog OS=Homo sapiens GN=MAGOH PE=1 SV=1,MAGOH,17.2,10988,6.11
ESYT2,893,428,24,24,24,A0FGR8-2,37,Isoform 2 of Extended synaptotagmin-2 OS=Homo sapiens GN=ESYT2,ESYT2,98.8,10869,8.68
DNTTIP2,756,365,22,22,22,Q5QJE6,46,Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens GN=DNTTIP2 PE=1 SV=2,DNTTIP2,84.4,10818,6.16
AKAP8,692,341,16,16,16,O43823,28,A-kinase anchor protein 8 OS=Homo sapiens GN=AKAP8 PE=1 SV=1,AKAP8,76.1,10773,5.15
RPL28,137,505,8,8,8,P46779,47,60S ribosomal protein L28 OS=Homo sapiens GN=RPL28 PE=1 SV=3,RPL28,15.7,10710,12.02
JADE3,823,507,22,22,21,Q92613,34,Protein Jade-3 OS=Homo sapiens GN=JADE3 PE=1 SV=1,JADE3,93.7,10699,7.18
RPS9,194,663,14,14,14,P46781,54,40S ribosomal protein S9 OS=Homo sapiens GN=RPS9 PE=1 SV=3,RPS9,22.6,10695,10.65
NOP16,178,493,10,10,10,Q9Y3C1,55,Nucleolar protein 16 OS=Homo sapiens GN=NOP16 PE=1 SV=2,NOP16,21.2,10665,9.94
SAFB2,953,475,19,19,6,Q14151,25,Scaffold attachment factor B2 OS=Homo sapiens GN=SAFB2 PE=1 SV=1,SAFB2,107.4,10645,6.16
SUB1,127,298,5,5,5,P53999,35,Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens GN=SUB1 PE=1 SV=3,SUB1,14.4,10643,9.6
DSG1,1049,362,16,16,16,Q02413,21,Desmoglein-1 OS=Homo sapiens GN=DSG1 PE=1 SV=2,DSG1,113.7,10524,5.03
TARDBP,414,258,8,8,8,Q13148,33,TAR DNA-binding protein 43 OS=Homo sapiens GN=TARDBP PE=1 SV=1,TARDBP,44.7,10488,6.19
EIF6,245,373,9,9,9,P56537,57,Eukaryotic translation initiation factor 6 OS=Homo sapiens GN=EIF6 PE=1 SV=1,EIF6,26.6,10431,4.68
RAB10,200,317,9,9,5,P61026,46,Ras-related protein Rab-10 OS=Homo sapiens GN=RAB10 PE=1 SV=1,RAB10,22.5,10395,8.38
ANKHD1,2617,388,27,27,16,Q8IWZ3-6,14,Isoform 6 of Ankyrin repeat and KH domain-containing protein 1 OS=Homo sapiens GN=ANKHD1,ANKHD1,277.0,10382,5.86
GPATCH8,1502,477,22,22,22,Q9UKJ3,19,G patch domain-containing protein 8 OS=Homo sapiens GN=GPATCH8 PE=1 SV=2,GPATCH8,164.1,10325,8.66
DDX55,600,321,13,13,13,Q8NHQ9,29,ATP-dependent RNA helicase DDX55 OS=Homo sapiens GN=DDX55 PE=1 SV=3,DDX55,68.5,10302,9.25
TBL1X,577,415,13,13,6,O60907,36,F-box-like/WD repeat-containing protein TBL1X OS=Homo sapiens GN=TBL1X PE=1 SV=3,TBL1X,62.5,10298,6.55
SNRPD3,126,266,4,4,4,P62318,48,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens GN=SNRPD3 PE=1 SV=1,SNRPD3,13.9,10225,10.32
RPL15,204,332,9,9,9,P61313,43,60S ribosomal protein L15 OS=Homo sapiens GN=RPL15 PE=1 SV=2,RPL15,24.1,10194,11.62
EZH2,746,480,26,26,2,Q15910,47,Histone-lysine N-methyltransferase EZH2 OS=Homo sapiens GN=EZH2 PE=1 SV=2,EZH2,85.3,10184,7.02
Q14525,404,365,18,18,3,Q14525,53,"SWISS-PROT:Q14525 Keratin, type I cuticular HA3-II (Hair keratin, type I HA3-II)",,46.2,10170,4.84
HSP90AB1,724,329,17,17,9,P08238,27,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,HSP90AB1,83.2,10145,5.03
SRP72,671,362,19,19,19,O76094,36,Signal recognition particle subunit SRP72 OS=Homo sapiens GN=SRP72 PE=1 SV=3,SRP72,74.6,10111,9.26
SRSF8,282,251,4,4,2,Q9BRL6,14,Serine/arginine-rich splicing factor 8 OS=Homo sapiens GN=SRSF8 PE=1 SV=1,SRSF8,32.3,10056,11.72
SUGP2,1082,374,23,23,23,Q8IX01,25,SURP and G-patch domain-containing protein 2 OS=Homo sapiens GN=SUGP2 PE=1 SV=2,SUGP2,120.1,9998,7.28
RPL22,128,293,5,5,5,P35268,55,60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2,RPL22,14.8,9980,9.19
LENG8,800,366,17,17,17,Q96PV6-2,33,Isoform 2 of Leukocyte receptor cluster member 8 OS=Homo sapiens GN=LENG8,LENG8,88.1,9907,9.11
PAK1IP1,392,440,13,13,13,Q9NWT1,36,p21-activated protein kinase-interacting protein 1 OS=Homo sapiens GN=PAK1IP1 PE=1 SV=2,PAK1IP1,43.9,9882,8.91
RALA,206,355,11,11,7,P11233,54,Ras-related protein Ral-A OS=Homo sapiens GN=RALA PE=1 SV=1,RALA,23.6,9863,7.11
RPS7,194,373,7,7,7,P62081,40,40S ribosomal protein S7 OS=Homo sapiens GN=RPS7 PE=1 SV=1,RPS7,22.1,9857,10.1
KRT13,458,313,15,15,4,P13646-1,27,"SWISS-PROT:P13646-1 Tax_Id=9606 Gene_Symbol=KRT13 Isoform 1 of Keratin, type I cytoskeletal 13",KRT13,49.6,9849,4.96
NCBP1,790,398,19,19,19,Q09161,33,Nuclear cap-binding protein subunit 1 OS=Homo sapiens GN=NCBP1 PE=1 SV=1,NCBP1,91.8,9778,6.43
JUN,331,251,7,7,6,P05412,39,Transcription factor AP-1 OS=Homo sapiens GN=JUN PE=1 SV=2,JUN,35.7,9749,8.76
LARP1,1096,497,28,28,28,Q6PKG0,38,La-related protein 1 OS=Homo sapiens GN=LARP1 PE=1 SV=2,LARP1,123.4,9733,8.82
SLC7A5,507,408,8,8,7,Q01650,17,Large neutral amino acids transporter small subunit 1 OS=Homo sapiens GN=SLC7A5 PE=1 SV=2,SLC7A5,55.0,9719,7.72
RPS11,158,492,11,11,11,P62280,56,40S ribosomal protein S11 OS=Homo sapiens GN=RPS11 PE=1 SV=3,RPS11,18.4,9675,10.3
ZNF326,582,315,12,12,12,Q5BKZ1,25,DBIRD complex subunit ZNF326 OS=Homo sapiens GN=ZNF326 PE=1 SV=2,ZNF326,65.6,9639,5.15
NHP2,153,243,5,5,5,Q9NX24,53,H/ACA ribonucleoprotein complex subunit 2 OS=Homo sapiens GN=NHP2 PE=1 SV=1,NHP2,17.2,9603,8.22
TECR,308,593,15,15,15,Q9NZ01,34,Very-long-chain enoyl-CoA reductase OS=Homo sapiens GN=TECR PE=1 SV=1,TECR,36.0,9590,9.45
MEN1,615,385,19,19,19,O00255,40,Menin OS=Homo sapiens GN=MEN1 PE=1 SV=4,MEN1,68.0,9581,6.55
LUC7L3,432,314,8,8,7,O95232,21,Luc7-like protein 3 OS=Homo sapiens GN=LUC7L3 PE=1 SV=2,LUC7L3,51.4,9559,9.79
RPL27A,148,318,5,5,5,P46776,28,60S ribosomal protein L27a OS=Homo sapiens GN=RPL27A PE=1 SV=2,RPL27A,16.6,9545,11.0
MYO10,2058,439,28,28,28,Q9HD67,16,Unconventional myosin-X OS=Homo sapiens GN=MYO10 PE=1 SV=3,MYO10,237.2,9524,6.21
FOXP4,680,452,18,18,15,Q8IVH2,47,Forkhead box protein P4 OS=Homo sapiens GN=FOXP4 PE=1 SV=1,FOXP4,73.4,9505,6.4
SNRNP70,437,504,16,16,16,P08621,38,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens GN=SNRNP70 PE=1 SV=2,SNRNP70,51.5,9483,9.94
RRAS,218,317,8,8,6,P10301,46,Ras-related protein R-Ras OS=Homo sapiens GN=RRAS PE=1 SV=1,RRAS,23.5,9443,6.93
RPS25,125,335,6,6,6,P62851,42,40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1,RPS25,13.7,9395,10.11
ZNF638,1978,389,33,33,33,Q14966,26,Zinc finger protein 638 OS=Homo sapiens GN=ZNF638 PE=1 SV=2,ZNF638,220.5,9374,6.38
CSNK2A1,391,367,14,14,12,P68400,46,Casein kinase II subunit alpha OS=Homo sapiens GN=CSNK2A1 PE=1 SV=1,CSNK2A1,45.1,9352,7.74
PES1,588,417,16,16,16,O00541,32,Pescadillo homolog OS=Homo sapiens GN=PES1 PE=1 SV=1,PES1,68.0,9306,7.33
CREB5,508,278,12,12,12,Q02930,29,Cyclic AMP-responsive element-binding protein 5 OS=Homo sapiens GN=CREB5 PE=1 SV=3,CREB5,56.9,9261,8.5
EPB41L2,1005,539,25,25,25,O43491,34,Band 4.1-like protein 2 OS=Homo sapiens GN=EPB41L2 PE=1 SV=1,EPB41L2,112.5,9200,5.44
RRP8,456,347,13,13,13,O43159,36,Ribosomal RNA-processing protein 8 OS=Homo sapiens GN=RRP8 PE=1 SV=2,RRP8,50.7,9050,9.42
DIMT1,313,368,13,13,13,Q9UNQ2,57,Probable dimethyladenosine transferase OS=Homo sapiens GN=DIMT1 PE=1 SV=1,DIMT1,35.2,8915,9.99
