Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot,unmodH3_unmodH5_200bp_scr_repl1,unmodH3_unmodH5_200bp_scr_repl2,unmodH3_unmodH5_200bp_scr_repl3,unmodH3_unmodH6_200bp_SV40prom_repl1,unmodH3_unmodH6_200bp_SV40prom_repl2,unmodH3_unmodH6_200bp_SV40prom_repl3
AP2A2,939,209,17,17,2,O94973,19,AP-2 complex subunit alpha-2 OS=Homo sapiens OX=9606 GN=AP2A2 PE=1 SV=2,AP2A2,103.9,5460,2713418.25,4362528.5,4138389.0,3781545.8125,3243749.75,3693214.5625
DDX31,851,232,23,23,23,Q9H8H2,33,Probable ATP-dependent RNA helicase DDX31 OS=Homo sapiens OX=9606 GN=DDX31 PE=1 SV=2,DDX31,94.0,5412,87191237.3333333,107768958.666667,79615330.6666667,71745497.3333333,63991503.1666667,70718332.6666667
RPL17,184,233,7,7,7,P18621,46,60S ribosomal protein L17 OS=Homo sapiens OX=9606 GN=RPL17 PE=1 SV=3,RPL17,21.4,5381,193272118.0,419422908.166667,270434184.0,194258265.666667,143975745.333333,247861782.666667
RPL18A,176,207,12,12,12,Q02543,56,60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2,RPL18A,20.7,5379,325152773.333333,394873386.666667,313167066.666667,264577344.0,276139560.0,251712961.333333
RBBP6,1792,224,30,30,29,Q7Z6E9,19,E3 ubiquitin-protein ligase RBBP6 OS=Homo sapiens OX=9606 GN=RBBP6 PE=1 SV=1,RBBP6,201.4,5379,57268844.0,31373937.3333333,65982300.6666667,17425360.6666667,29514522.0,46808166.6666667
DEK,375,194,16,16,16,P35659,48,Protein DEK OS=Homo sapiens OX=9606 GN=DEK PE=1 SV=1,DEK,42.6,5374,246619646.666667,329430392.0,196282835.333333,403339992.0,344459496.0,331795722.666667
SFSWAP,951,181,23,23,23,Q12872,28,"Splicing factor, suppressor of white-apricot homolog OS=Homo sapiens OX=9606 GN=SFSWAP PE=1 SV=3",SFSWAP,104.8,5308,48440151.0,47310789.3333333,33671924.0,17977090.3333333,21114639.3333333,27950180.0
HSP90AB1,724,145,15,15,9,P08238,26,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4,HSP90AB1,83.2,5297,20528646.0833333,20947888.6666667,16711578.4166667,15453546.0,14340035.4166667,19250003.8333333
RPL27,136,233,6,6,6,P61353,46,60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2,RPL27,15.8,5293,388141696.0,551180060.5,345459746.666667,354218954.666667,328100632.5,285770737.083333
RPS13,151,198,8,8,8,P62277,49,40S ribosomal protein S13 OS=Homo sapiens OX=9606 GN=RPS13 PE=1 SV=2,RPS13,17.2,5287,208142725.333333,250163930.666667,187370096.0,139139293.333333,103693645.333333,138804413.333333
CDC5L,802,184,24,24,24,Q99459,43,Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2,CDC5L,92.2,5269,29086012.6666667,35521260.0,24101590.6666667,12859588.3333333,12551529.3333333,15374829.3333333
KPNA2,529,148,11,11,11,P52292,27,Importin subunit alpha-1 OS=Homo sapiens OX=9606 GN=KPNA2 PE=1 SV=1,KPNA2,57.8,5257,103625333.583333,136238632.666667,103751331.333333,63306140.0,68406292.1666667,72671212.5
DNTTIP2,756,134,16,16,16,Q5QJE6,29,Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens OX=9606 GN=DNTTIP2 PE=1 SV=2,DNTTIP2,84.4,5252,11005204.0,13456458.6666667,9836059.58333333,9582083.0,9955192.16666667,8462193.79166667
ITPRID2,1259,190,31,31,31,P28290,31,Protein ITPRID2 OS=Homo sapiens OX=9606 GN=ITPRID2 PE=1 SV=3,ITPRID2,138.3,5232,14035808.3333333,19080425.3333333,19008218.0,13406673.0,13518364.0,13283733.6666667
COBL,1261,207,28,28,28,O75128,29,Protein cordon-bleu OS=Homo sapiens OX=9606 GN=COBL PE=1 SV=2,COBL,135.5,5228,20679393.3333333,25218580.6666667,18468859.3333333,15631655.3333333,12881980.0,19186450.0
RING1,406,161,11,11,9,Q06587,39,E3 ubiquitin-protein ligase RING1 OS=Homo sapiens OX=9606 GN=RING1 PE=1 SV=2,RING1,42.4,5228,28591214.6666667,37705012.0,19253375.3333333,20613380.3333333,18936969.3333333,20819077.0
TRA2B,288,208,12,12,9,P62995,42,Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1,TRA2B,33.6,5223,224143829.333333,325862818.666667,204965488.0,125285949.333333,150122902.666667,110458691.333333
CHERP,916,161,16,16,16,Q8IWX8,22,Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens OX=9606 GN=CHERP PE=1 SV=3,CHERP,103.6,5220,184583616.0,232391436.0,151103397.333333,141158233.333333,126665650.666667,151292497.333333
KDM2A,1162,201,29,29,26,Q9Y2K7,29,Lysine-specific demethylase 2A OS=Homo sapiens OX=9606 GN=KDM2A PE=1 SV=3,KDM2A,132.7,5219,33366337.3333333,43803078.0,26107692.6666667,22036425.3333333,15395693.6666667,14607941.0
CUSTOS,262,133,9,9,9,Q96C57,53,Protein CUSTOS OS=Homo sapiens OX=9606 GN=CUSTOS PE=1 SV=2,CUSTOS,28.2,5190,88296786.0,96667765.3333333,66484491.6666667,57365496.6666667,53030125.4791667,66451170.6666667
RPS2,293,196,13,13,13,P15880,47,40S ribosomal protein S2 OS=Homo sapiens OX=9606 GN=RPS2 PE=1 SV=2,RPS2,31.3,5189,161504978.0,192144388.666667,144591736.0,109889904.666667,101089096.666667,104346520.0
ZNF106,1883,156,28,28,28,Q9H2Y7,23,Zinc finger protein 106 OS=Homo sapiens OX=9606 GN=ZNF106 PE=1 SV=1,ZNF106,208.8,5152,14385435.6666667,13739583.6666667,16762965.6666667,8355763.33333333,9067431.0,16640431.0
RPL23A,156,201,8,8,8,P62750,50,60S ribosomal protein L23a OS=Homo sapiens OX=9606 GN=RPL23A PE=1 SV=1,RPL23A,17.7,5146,365310729.166667,464074601.5,328660974.333333,346495095.166667,340791924.0,348165466.333333
FMNL2,1086,233,36,36,28,Q96PY5,33,Formin-like protein 2 OS=Homo sapiens OX=9606 GN=FMNL2 PE=1 SV=3,FMNL2,123.2,5144,71747801.6666667,69266234.3333333,88457658.6666667,37429542.6666667,36688726.1666667,136176126.666667
SMARCE1,411,148,21,21,21,Q969G3,63,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens OX=9606 GN=SMARCE1 PE=1 SV=2,SMARCE1,46.6,5133,581822676.666667,904927102.0,573527475.5,1445265814.0,1279676485.54167,1100685256.91667
BUD13,619,202,20,20,20,Q9BRD0,39,BUD13 homolog OS=Homo sapiens OX=9606 GN=BUD13 PE=1 SV=1,BUD13,70.5,5127,43054160.3333333,50588186.3333333,51598096.8333333,32188748.8333333,52332011.8333333,37772886.3333333
PPP1R12B,982,204,28,28,28,O60237,32,Protein phosphatase 1 regulatory subunit 12B OS=Homo sapiens OX=9606 GN=PPP1R12B PE=1 SV=2,PPP1R12B,110.3,5117,36518956.25,28281785.3333333,41836114.6666667,9443491.66666667,22078322.3333333,46870383.0
MCAM,646,161,15,15,15,P43121,32,Cell surface glycoprotein MUC18 OS=Homo sapiens OX=9606 GN=MCAM PE=1 SV=2,MCAM,71.6,5113,16624588.6666667,30854431.0,25615164.3333333,14091518.0,22511064.0,25489974.6666667
SRSF6,344,205,13,13,8,Q13247,29,Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2,SRSF6,39.6,5073,181878708.666667,201369124.0,207726630.5,52958315.3333333,81686433.3333333,161442368.666667
RBBP4,425,235,15,15,7,Q09028,40,Histone-binding protein RBBP4 OS=Homo sapiens OX=9606 GN=RBBP4 PE=1 SV=3,RBBP4,47.6,5026,68360657.6666667,81292545.0,27371724.8333333,64539460.8333333,62440699.3333333,37349469.0
NSD1,2696,237,42,42,40,Q96L73,20,"Histone-lysine N-methyltransferase, H3 lysine-36 specific OS=Homo sapiens OX=9606 GN=NSD1 PE=1 SV=1",NSD1,296.5,5013,249740088.333333,278374856.166667,190767916.666667,188360452.666667,167283443.666667,204949497.0
MTREX,1042,182,26,26,26,P42285,28,Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,MTREX,117.7,4994,21428928.3333333,35767607.6666667,17692469.75,29644679.6666667,23610491.6666667,14464713.3333333
KRT77,578,146,7,7,2,Q7Z794,9,"Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3",KRT77,61.9,4993,5432893.0,3226430.0,3717313.75,2166513.75,2623837.75,956575.25
SAP30BP,308,148,13,13,13,Q9UHR5,60,SAP30-binding protein OS=Homo sapiens OX=9606 GN=SAP30BP PE=1 SV=1,SAP30BP,33.9,4991,98305360.6666667,116375165.333333,70381050.6666667,32450257.6666667,35863223.6666667,55049479.0
TPM1,284,239,16,16,3,P09493,36,Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2,TPM1,32.7,4986,72525747.0,93258166.3333333,42214082.8333333,72906943.6666667,58758404.0,63441251.3333333
SAFB2,953,199,21,21,9,Q14151,27,Scaffold attachment factor B2 OS=Homo sapiens OX=9606 GN=SAFB2 PE=1 SV=1,SAFB2,107.4,4980,6612932.66666667,18272457.0,9022060.16666667,6685465.41666667,10416698.8333333,7912531.16666667
RPS18,152,172,13,13,13,P62269,61,40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,RPS18,17.7,4952,155376026.666667,177302192.0,128368424.0,93453858.6666667,89043005.3333333,86801114.6666667
TAF15,592,195,8,8,6,Q92804,21,TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,TAF15,61.8,4934,66378143.7682292,107778242.666667,57902522.375,56447551.6666667,93123774.6666667,39549231.8333333
HNRNPAB,332,165,8,8,7,Q99729,22,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2,HNRNPAB,36.2,4925,597538048.0,787882858.666667,367149962.666667,211316677.333333,151710628.0,150902400.0
LUC7L3,432,190,16,16,15,O95232,34,Luc7-like protein 3 OS=Homo sapiens OX=9606 GN=LUC7L3 PE=1 SV=2,LUC7L3,51.4,4902,323093282.333333,432597405.333333,280308788.0,536929166.666667,529311883.333333,572267183.333333
CALM1,149,177,8,8,6,P0DP23,49,Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1,CALM1,16.8,4890,257433644.666667,315039381.0,126213941.416667,287052559.083333,249048359.5,124505319.416667
PRPF19,504,278,12,12,11,Q9UMS4,33,Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1,PRPF19,55.1,4885,91375971.3333333,112283743.666667,77134809.3333333,51030729.0,50240052.0,53286276.6666667
AFF4,1163,178,27,27,26,Q9UHB7,29,AF4/FMR2 family member 4 OS=Homo sapiens OX=9606 GN=AFF4 PE=1 SV=1,AFF4,127.4,4866,1567737.0,1411021.0,705394.166666667,1105520.75,2491089.0,776433.0
RPS14,151,122,7,7,7,P62263,39,40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3,RPS14,16.3,4844,218392100.0,279964581.333333,225060804.0,142149093.333333,163259540.0,161360329.333333
CDCA2,1023,132,21,21,20,Q69YH5,32,Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=2,CDCA2,112.6,4842,23231972.6666667,24374716.6666667,24259872.6666667,13836358.3333333,18487318.0,23440870.6666667
NKRF,690,228,26,26,26,O15226,37,NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF PE=1 SV=2,NKRF,77.6,4838,163413609.333333,217086034.333333,155901283.0,104131809.666667,119215511.333333,110335360.0
SNRPA1,255,158,12,12,12,P09661,49,U2 small nuclear ribonucleoprotein A' OS=Homo sapiens OX=9606 GN=SNRPA1 PE=1 SV=2,SNRPA1,28.4,4829,150694914.666667,127378901.333333,212103944.0,49681678.3333333,36817805.3333333,152680094.666667
PNKP,521,181,26,26,26,Q96T60,51,Bifunctional polynucleotide phosphatase/kinase OS=Homo sapiens OX=9606 GN=PNKP PE=1 SV=1,PNKP,57.0,4823,81275872.0,112663570.666667,89703865.3333333,101248002.666667,123797458.666667,153922061.333333
RBBP7,425,220,15,15,8,Q16576,43,Histone-binding protein RBBP7 OS=Homo sapiens OX=9606 GN=RBBP7 PE=1 SV=1,RBBP7,47.8,4811,31378337.8333333,34174974.3333333,20119684.0,14741061.5,23183921.0,27608165.6666667
GPATCH4,446,153,17,17,17,Q5T3I0,40,G patch domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GPATCH4 PE=1 SV=2,GPATCH4,50.4,4759,26119189.3333333,31792531.3333333,23372708.6666667,21694749.3333333,17633692.6666667,21745503.3333333
ATAD2,1390,184,30,30,30,Q6PL18,27,ATPase family AAA domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ATAD2 PE=1 SV=1,ATAD2,158.5,4738,22730607.3333333,31788793.6666667,21912446.1666667,19119085.8333333,18640680.1666667,21458387.0
ERH,104,177,4,4,4,P84090,39,Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1,ERH,12.3,4715,786695714.666667,1131175709.33333,460489968.0,371289253.333333,340123445.333333,378311028.0
SRRT,876,198,24,24,24,Q9BXP5,28,Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1,SRRT,100.6,4675,84026336.0,125606540.0,84610558.6666667,55113512.6666667,59966081.3333333,60030521.3333333
PHF2,1096,163,24,24,22,O75151,27,Lysine-specific demethylase PHF2 OS=Homo sapiens OX=9606 GN=PHF2 PE=1 SV=4,PHF2,120.7,4674,3431269.58333333,1759676.16666667,5057660.54166667,1355988.91666667,1021151.0,8795893.75
IMMT,758,198,29,29,29,Q16891,44,MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1,IMMT,83.6,4639,49124404.0,48545808.0,41945516.6666667,36772920.6666667,24192368.3333333,46834146.6666667
RPS5,204,126,8,8,8,P46782,45,40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4,RPS5,22.9,4618,147958761.333333,152691425.333333,150190621.333333,83352636.0,96613257.3333333,95318512.6666667
CD44,742,102,8,8,8,P16070,12,CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3,CD44,81.5,4607,82974874.8333333,104545479.833333,85574698.6666667,76679033.0,53819620.0,74396096.3333333
PCBP2,365,149,9,9,5,Q15366,34,Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1,PCBP2,38.6,4599,31892748.0,37882130.6666667,28570115.3333333,28866804.0,23825028.6666667,26733162.6666667
PRPF6,941,154,21,21,21,O94906,26,Pre-mRNA-processing factor 6 OS=Homo sapiens OX=9606 GN=PRPF6 PE=1 SV=1,PRPF6,106.9,4589,9662814.66666667,12889739.3333333,9321162.66666667,5614194.33333333,2328019.0,21451170.6666667
AP2M1,435,199,18,18,18,Q96CW1,45,AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2,AP2M1,49.6,4582,132752746.666667,191620014.666667,99595599.3333333,103631576.0,106435086.666667,70435627.9166667
DHX30,1194,207,34,34,34,Q7L2E3,32,ATP-dependent RNA helicase DHX30 OS=Homo sapiens OX=9606 GN=DHX30 PE=1 SV=1,DHX30,133.9,4581,199200280.666667,169952693.166667,135323529.0,124240720.0,87393793.1666667,136855009.333333
MEN1,615,171,15,15,15,O00255,28,Menin OS=Homo sapiens OX=9606 GN=MEN1 PE=1 SV=4,MEN1,68.0,4565,63841007.3333333,92222154.6666667,63430725.0,69090517.0,57463604.6666667,60591215.8333333
U2AF1,240,150,8,8,8,Q01081,40,Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3,U2AF1,27.9,4552,339592818.5,392210265.5,282198509.791667,244027144.166667,216955016.875,237699364.0
GNL2,731,185,22,22,22,Q13823,32,Nucleolar GTP-binding protein 2 OS=Homo sapiens OX=9606 GN=GNL2 PE=1 SV=1,GNL2,83.6,4531,22342249.6666667,51372896.0,76695195.6666667,51378356.5,114854507.0,7347214.0
FXR2,673,154,21,21,18,P51116,43,Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2,FXR2,74.2,4521,49080777.3333333,45740308.6666667,54621282.0,28623637.3333333,35452336.3333333,44421225.0
YES1,543,221,21,21,13,P07947,41,Tyrosine-protein kinase Yes OS=Homo sapiens OX=9606 GN=YES1 PE=1 SV=3,YES1,60.8,4519,43272496.0,52627640.0,39244245.3333333,40874853.3333333,30169665.8333333,36692211.3333333
BANP,519,134,14,14,14,Q8N9N5,30,Protein BANP OS=Homo sapiens OX=9606 GN=BANP PE=1 SV=3,BANP,56.5,4518,132780584.0,161017637.333333,98640388.0,47834798.6666667,57969680.0,52915489.75
GAR1,217,199,8,8,8,Q9NY12,35,H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1,GAR1,22.3,4513,332729760.083333,345843352.0,269326084.0,300579850.666667,208008861.333333,290968106.666667
YLPM1,2146,246,34,34,34,P49750,21,YLP motif-containing protein 1 OS=Homo sapiens OX=9606 GN=YLPM1 PE=1 SV=4,YLPM1,241.5,4510,165907314.166667,193021600.666667,145662317.833333,132115431.333333,167916251.833333,136412342.166667
CDK9,372,170,15,15,13,P50750,44,Cyclin-dependent kinase 9 OS=Homo sapiens OX=9606 GN=CDK9 PE=1 SV=3,CDK9,42.8,4509,6416817.16666667,7546072.0,5199462.91666667,4584599.33333333,5343175.0,6325841.83333333
SF3A3,501,191,17,17,17,Q12874,34,Splicing factor 3A subunit 3 OS=Homo sapiens OX=9606 GN=SF3A3 PE=1 SV=1,SF3A3,58.8,4482,62708833.0,58999033.6666667,39736070.5,27726785.1666667,22824264.5,30418912.0
RREB1,1687,191,38,38,38,Q92766,35,Ras-responsive element-binding protein 1 OS=Homo sapiens OX=9606 GN=RREB1 PE=1 SV=3,RREB1,181.3,4455,418809924.0,686177418.666667,374429529.333333,479562852.0,624158836.0,344907911.333333
SON,2426,197,33,33,33,P18583,21,Protein SON OS=Homo sapiens OX=9606 GN=SON PE=1 SV=4,SON,263.7,4450,30636999.3333333,32639646.6666667,35866194.6666667,20127921.3333333,14171986.3333333,13853870.0
SLC25A5,298,188,15,15,5,P05141,42,ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,SLC25A5,32.8,4422,49759914.6666667,49347075.5,31026433.3333333,45946631.3333333,30702393.1666667,25572716.6666667
TFIP11,837,179,27,27,27,Q9UBB9,37,Tuftelin-interacting protein 11 OS=Homo sapiens OX=9606 GN=TFIP11 PE=1 SV=1,TFIP11,96.8,4399,299358307.333333,344381057.333333,260900808.666667,226120318.166667,288272805.333333,264864930.916667
ZMYND11,602,197,22,22,22,Q15326,39,Zinc finger MYND domain-containing protein 11 OS=Homo sapiens OX=9606 GN=ZMYND11 PE=1 SV=2,ZMYND11,70.9,4399,54583730.6666667,63296898.6666667,45905556.0,33015435.3333333,37587101.3333333,36341232.6666667
PURA,322,150,14,14,11,Q00577,36,Transcriptional activator protein Pur-alpha OS=Homo sapiens OX=9606 GN=PURA PE=1 SV=2,PURA,34.9,4363,70648331.3333333,85665527.3333333,69836755.6666667,62066274.6666667,48795244.1666667,69945409.3333333
RBBP5,538,177,18,18,18,Q15291,38,Retinoblastoma-binding protein 5 OS=Homo sapiens OX=9606 GN=RBBP5 PE=1 SV=2,RBBP5,59.1,4353,51676236.0,47786770.6666667,30785186.6666667,24648587.0,17656282.0,28016678.3333333
TAF7,349,141,20,20,20,Q15545,57,Transcription initiation factor TFIID subunit 7 OS=Homo sapiens OX=9606 GN=TAF7 PE=1 SV=1,TAF7,40.2,4342,,,,,,1473339.83333333
FOSL2,326,146,10,10,10,P15408,35,Fos-related antigen 2 OS=Homo sapiens OX=9606 GN=FOSL2 PE=1 SV=1,FOSL2,35.2,4341,103367856.0,137118080.0,84918070.6666667,163705758.666667,213660378.666667,230929973.333333
YTHDC1,727,190,22,22,22,Q96MU7,28,YTH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=YTHDC1 PE=1 SV=3,YTHDC1,84.6,4337,67476572.0,87899842.6666667,53679810.0,16420916.3333333,15238260.6666667,17209196.6666667
SPOUT1,376,168,13,13,13,Q5T280,44,Putative methyltransferase C9orf114 OS=Homo sapiens OX=9606 GN=SPOUT1 PE=1 SV=3,SPOUT1,42.0,4324,65372534.6666667,80306589.3333333,67240073.3333333,55370637.3333333,59313005.3333333,59325138.6666667
HNRNPDL,420,158,11,11,9,O14979,28,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,HNRNPDL,46.4,4249,88255529.3333333,109505378.666667,55217565.3333333,33382084.6666667,32671218.6666667,34258300.0
ARNT,789,145,19,19,19,P27540,39,Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1,ARNT,86.6,4234,29980914.6666667,30405873.3333333,25656360.4166667,23168506.0,25961753.3333333,32722772.6666667
PAXBP1,917,187,25,25,25,Q9Y5B6,29,PAX3- and PAX7-binding protein 1 OS=Homo sapiens OX=9606 GN=PAXBP1 PE=1 SV=2,PAXBP1,104.7,4232,29918296.6666667,33103408.0,17467326.0,17377987.3333333,12872542.6666667,13941596.1666667
RNF2,336,127,11,11,9,Q99496,41,E3 ubiquitin-protein ligase RING2 OS=Homo sapiens OX=9606 GN=RNF2 PE=1 SV=1,RNF2,37.6,4231,35153660.0,44170419.3333333,26225935.3333333,29779111.4166667,30641429.5833333,25838062.0
TCOF1,1488,179,25,25,25,Q13428,21,Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3,TCOF1,152.0,4212,142208832.0,207789468.0,142052342.666667,91074172.0,147070580.666667,151279694.666667
NIP7,180,152,8,8,8,Q9Y221,54,60S ribosome subunit biogenesis protein NIP7 homolog OS=Homo sapiens OX=9606 GN=NIP7 PE=1 SV=1,NIP7,20.4,4211,140988845.333333,187921530.666667,125933640.0,103573238.666667,145524080.0,122656381.333333
RPS19,145,140,8,8,8,P39019,47,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,RPS19,16.1,4191,170970736.0,194574634.666667,144336017.333333,100163698.666667,127292989.333333,103433549.333333
PPP1R9A,1098,184,25,25,24,Q9ULJ8,29,Neurabin-1 OS=Homo sapiens OX=9606 GN=PPP1R9A PE=1 SV=2,PPP1R9A,123.3,4180,61245948.0,56516797.3333333,80768407.25,19369267.0,42692921.6666667,173417340.0
POLDIP3,421,177,18,18,18,Q9BY77,52,Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2,POLDIP3,46.1,4139,52347645.3333333,60256396.0,38709870.0,38127131.3333333,36273226.6666667,38852590.6666667
TIGD2,525,130,18,18,18,Q4W5G0,46,Tigger transposable element-derived protein 2 OS=Homo sapiens OX=9606 GN=TIGD2 PE=3 SV=1,TIGD2,59.6,4130,32461847.3333333,41650032.0,29672555.3333333,27031166.6666667,21985949.3333333,25896972.6666667
ASPH,758,140,14,14,14,Q12797,24,Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3,ASPH,85.8,4106,27748359.5833333,27120747.5,19548869.0,22359160.5,21696428.5,21538517.0
CHD8,2581,163,38,38,24,Q9HCK8,19,Chromodomain-helicase-DNA-binding protein 8 OS=Homo sapiens OX=9606 GN=CHD8 PE=1 SV=5,CHD8,290.3,4105,,,1303582.33333333,1232664.75,631364.0,
RPL24,157,106,6,6,6,P83731,35,60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1,RPL24,17.8,4105,176333490.666667,229542064.0,139092885.333333,163277368.0,142313384.0,134490920.0
TAF9,264,131,15,15,8,Q16594,76,Transcription initiation factor TFIID subunit 9 OS=Homo sapiens OX=9606 GN=TAF9 PE=1 SV=1,TAF9,29.0,4096,3043513.66666667,4818459.0,2333366.0,1682780.5,2436599.83333333,1705448.66666667
RPL23,140,118,6,6,6,P62829,46,60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1,RPL23,14.9,4067,215820361.333333,245396662.666667,187223602.666667,188045926.666667,184046196.0,185270062.666667
PRPF38A,312,130,11,11,11,Q8NAV1,34,Pre-mRNA-splicing factor 38A OS=Homo sapiens OX=9606 GN=PRPF38A PE=1 SV=1,PRPF38A,37.5,4054,79839295.8333333,114323515.166667,56529405.4166667,45866329.75,44380314.6666667,40485713.75
RPSA,295,92,5,5,5,P08865,27,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,RPSA,32.8,4035,88051014.1666667,67972062.8333333,72992547.0,55506239.6666667,40022770.5833333,61257471.75
CTCF,727,170,23,23,20,P49711,45,Transcriptional repressor CTCF OS=Homo sapiens OX=9606 GN=CTCF PE=1 SV=1,CTCF,82.7,4007,10235848.71875,10948593.3333333,33275104.3333333,124639096.0,86690802.6666667,170788153.333333
RPA3,121,121,6,6,6,P35244,80,Replication protein A 14 kDa subunit OS=Homo sapiens OX=9606 GN=RPA3 PE=1 SV=1,RPA3,13.6,3964,582352924.0,759931179.333333,328019003.333333,351270472.666667,263803883.166667,403525917.333333
MYL6B,208,109,7,7,5,P14649,37,Myosin light chain 6B OS=Homo sapiens OX=9606 GN=MYL6B PE=1 SV=1,MYL6B,22.8,3963,8266346.66666667,19909588.6666667,8030249.5,6241340.16666667,9407943.83333333,10728290.0
RHOB,196,157,11,11,9,P62745,59,Rho-related GTP-binding protein RhoB OS=Homo sapiens OX=9606 GN=RHOB PE=1 SV=1,RHOB,22.1,3937,87012731.0,161507848.0,118502109.0,117464205.0,60612853.0,120374697.333333
RBM27,1060,150,23,23,22,Q9P2N5,26,RNA-binding protein 27 OS=Homo sapiens OX=9606 GN=RBM27 PE=1 SV=2,RBM27,118.6,3914,31524850.1666667,43133115.5,34468125.3333333,17699137.5,20113790.1666667,19309738.1666667
BCOR,1755,184,29,29,28,Q6W2J9,23,BCL-6 corepressor OS=Homo sapiens OX=9606 GN=BCOR PE=1 SV=1,BCOR,192.1,3902,24333014.6666667,22960763.3333333,17315556.0,11299869.3333333,12769930.3333333,8599902.0
SNRPB,240,118,8,8,8,P14678,25,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2,SNRPB,24.6,3871,120757229.333333,131681244.0,94629525.3333333,53203243.3333333,51283292.0,80033934.6666667
CLINT1,625,147,13,13,13,Q14677,26,Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1,CLINT1,68.2,3853,31680285.9166667,44928775.8333333,30570507.1666667,27814103.5,47391683.4583333,33031316.5
