Label,# AAs,# PSMs,# Peptides,# Peptides (by Search Engine): Mascot,# Unique Peptides,Accession,Coverage [%],Description,Gene,MW [kDa],Score Mascot: Mascot
SRSF6,344,424,16,16,10,Q13247,36,Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2,SRSF6,39.6,10090
CDC5L,802,379,30,30,30,Q99459,49,Cell division cycle 5-like protein OS=Homo sapiens OX=9606 GN=CDC5L PE=1 SV=2,CDC5L,92.2,10047
MCAM,646,339,16,16,16,P43121,34,Cell surface glycoprotein MUC18 OS=Homo sapiens OX=9606 GN=MCAM PE=1 SV=2,MCAM,71.6,9981
RPL24,157,252,6,6,6,P83731,35,60S ribosomal protein L24 OS=Homo sapiens OX=9606 GN=RPL24 PE=1 SV=1,RPL24,17.8,9955
H1-10,213,249,8,8,8,Q92522,37,Histone H1.10 OS=Homo sapiens OX=9606 GN=H1-10 PE=1 SV=1,H1-10,22.5,9919
CALM1,149,362,10,10,8,P0DP23,74,Calmodulin-1 OS=Homo sapiens OX=9606 GN=CALM1 PE=1 SV=1,CALM1,16.8,9907
TAF15,592,381,9,9,7,Q92804,27,TATA-binding protein-associated factor 2N OS=Homo sapiens OX=9606 GN=TAF15 PE=1 SV=1,TAF15,61.8,9852
COBL,1261,431,33,33,33,O75128,36,Protein cordon-bleu OS=Homo sapiens OX=9606 GN=COBL PE=1 SV=2,COBL,135.5,9851
KRT77,578,284,9,9,4,Q7Z794,13,"Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3",KRT77,61.9,9843
HNRNPAB,332,345,9,9,8,Q99729,24,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2,HNRNPAB,36.2,9807
GAR1,217,422,9,9,9,Q9NY12,38,H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1,GAR1,22.3,9794
YBX3,372,301,11,11,8,P16989,52,Y-box-binding protein 3 OS=Homo sapiens OX=9606 GN=YBX3 PE=1 SV=4,YBX3,40.1,9777
TPM1,284,482,18,18,3,P09493,39,Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2,TPM1,32.7,9756
SF3A3,501,422,19,19,19,Q12874,41,Splicing factor 3A subunit 3 OS=Homo sapiens OX=9606 GN=SF3A3 PE=1 SV=1,SF3A3,58.8,9734
KDM2A,1162,356,33,33,31,Q9Y2K7,34,Lysine-specific demethylase 2A OS=Homo sapiens OX=9606 GN=KDM2A PE=1 SV=3,KDM2A,132.7,9726
RPS14,151,251,7,7,7,P62263,39,40S ribosomal protein S14 OS=Homo sapiens OX=9606 GN=RPS14 PE=1 SV=3,RPS14,16.3,9702
YLPM1,2146,520,41,41,41,P49750,24,YLP motif-containing protein 1 OS=Homo sapiens OX=9606 GN=YLPM1 PE=1 SV=4,YLPM1,241.5,9640
TRA2B,288,378,11,11,8,P62995,41,Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1,TRA2B,33.6,9602
RUVBL2,463,298,18,18,18,Q9Y230,46,RuvB-like 2 OS=Homo sapiens OX=9606 GN=RUVBL2 PE=1 SV=3,RUVBL2,51.1,9524
RPS18,152,347,13,13,13,P62269,61,40S ribosomal protein S18 OS=Homo sapiens OX=9606 GN=RPS18 PE=1 SV=3,RPS18,17.7,9513
SLC25A5,298,391,16,16,5,P05141,47,ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7,SLC25A5,32.8,9506
PCBP2,365,321,9,9,5,Q15366,34,Poly(rC)-binding protein 2 OS=Homo sapiens OX=9606 GN=PCBP2 PE=1 SV=1,PCBP2,38.6,9466
SPOUT1,376,369,15,15,15,Q5T280,44,Putative methyltransferase C9orf114 OS=Homo sapiens OX=9606 GN=SPOUT1 PE=1 SV=3,SPOUT1,42.0,9446
CDCA2,1023,247,27,27,27,Q69YH5,44,Cell division cycle-associated protein 2 OS=Homo sapiens OX=9606 GN=CDCA2 PE=1 SV=2,CDCA2,112.6,9443
ARNT,789,301,19,19,19,P27540,43,Aryl hydrocarbon receptor nuclear translocator OS=Homo sapiens OX=9606 GN=ARNT PE=1 SV=1,ARNT,86.6,9430
BANP,519,288,16,16,16,Q8N9N5,34,Protein BANP OS=Homo sapiens OX=9606 GN=BANP PE=1 SV=3,BANP,56.5,9423
RREB1,1687,391,44,44,44,Q92766,41,Ras-responsive element-binding protein 1 OS=Homo sapiens OX=9606 GN=RREB1 PE=1 SV=3,RREB1,181.3,9298
MTREX,1042,336,28,28,28,P42285,30,Exosome RNA helicase MTR4 OS=Homo sapiens OX=9606 GN=MTREX PE=1 SV=3,MTREX,117.7,9277
YES1,543,449,22,22,13,P07947,44,Tyrosine-protein kinase Yes OS=Homo sapiens OX=9606 GN=YES1 PE=1 SV=3,YES1,60.8,9271
PRPF6,941,304,23,23,23,O94906,28,Pre-mRNA-processing factor 6 OS=Homo sapiens OX=9606 GN=PRPF6 PE=1 SV=1,PRPF6,106.9,9251
U2AF1,240,295,8,8,8,Q01081,48,Splicing factor U2AF 35 kDa subunit OS=Homo sapiens OX=9606 GN=U2AF1 PE=1 SV=3,U2AF1,27.9,9249
KAT7,611,340,20,20,19,O95251,41,Histone acetyltransferase KAT7 OS=Homo sapiens OX=9606 GN=KAT7 PE=1 SV=1,KAT7,70.6,9240
SAP30BP,308,288,15,15,15,Q9UHR5,61,SAP30-binding protein OS=Homo sapiens OX=9606 GN=SAP30BP PE=1 SV=1,SAP30BP,33.9,9202
TCOF1,1488,380,30,30,30,Q13428,25,Treacle protein OS=Homo sapiens OX=9606 GN=TCOF1 PE=1 SV=3,TCOF1,152.0,9200
AP2M1,435,418,18,18,18,Q96CW1,45,AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=2,AP2M1,49.6,9129
FXR2,673,322,25,25,23,P51116,48,Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2,FXR2,74.2,9088
CD44,742,216,8,8,8,P16070,12,CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3,CD44,81.5,9010
SRRT,876,394,28,28,28,Q9BXP5,36,Serrate RNA effector molecule homolog OS=Homo sapiens OX=9606 GN=SRRT PE=1 SV=1,SRRT,100.6,8998
CHERP,916,306,20,20,20,Q8IWX8,28,Calcium homeostasis endoplasmic reticulum protein OS=Homo sapiens OX=9606 GN=CHERP PE=1 SV=3,CHERP,103.6,8967
PRPF38A,312,297,12,12,12,Q8NAV1,40,Pre-mRNA-splicing factor 38A OS=Homo sapiens OX=9606 GN=PRPF38A PE=1 SV=1,PRPF38A,37.5,8874
TIGD2,525,260,19,19,19,Q4W5G0,50,Tigger transposable element-derived protein 2 OS=Homo sapiens OX=9606 GN=TIGD2 PE=3 SV=1,TIGD2,59.6,8765
ERH,104,343,4,4,4,P84090,39,Enhancer of rudimentary homolog OS=Homo sapiens OX=9606 GN=ERH PE=1 SV=1,ERH,12.3,8764
WDR5,334,241,8,8,8,P61964,29,WD repeat-containing protein 5 OS=Homo sapiens OX=9606 GN=WDR5 PE=1 SV=1,WDR5,36.6,8759
ZMYND11,602,396,23,23,23,Q15326,39,Zinc finger MYND domain-containing protein 11 OS=Homo sapiens OX=9606 GN=ZMYND11 PE=1 SV=2,ZMYND11,70.9,8747
FOSL2,326,271,10,10,10,P15408,35,Fos-related antigen 2 OS=Homo sapiens OX=9606 GN=FOSL2 PE=1 SV=1,FOSL2,35.2,8732
LUC7L3,432,311,15,15,15,O95232,33,Luc7-like protein 3 OS=Homo sapiens OX=9606 GN=LUC7L3 PE=1 SV=2,LUC7L3,51.4,8690
RPA3,121,274,5,5,5,P35244,70,Replication protein A 14 kDa subunit OS=Homo sapiens OX=9606 GN=RPA3 PE=1 SV=1,RPA3,13.6,8672
PRPF19,504,516,14,14,13,Q9UMS4,39,Pre-mRNA-processing factor 19 OS=Homo sapiens OX=9606 GN=PRPF19 PE=1 SV=1,PRPF19,55.1,8659
PAXBP1,917,377,27,27,27,Q9Y5B6,33,PAX3- and PAX7-binding protein 1 OS=Homo sapiens OX=9606 GN=PAXBP1 PE=1 SV=2,PAXBP1,104.7,8651
RRAS2,204,207,9,9,7,P62070,47,Ras-related protein R-Ras2 OS=Homo sapiens OX=9606 GN=RRAS2 PE=1 SV=1,RRAS2,23.4,8561
RBM27,1060,310,26,26,25,Q9P2N5,30,RNA-binding protein 27 OS=Homo sapiens OX=9606 GN=RBM27 PE=1 SV=2,RBM27,118.6,8545
PURA,322,292,17,17,14,Q00577,75,Transcriptional activator protein Pur-alpha OS=Homo sapiens OX=9606 GN=PURA PE=1 SV=2,PURA,34.9,8498
RPS5,204,237,10,10,10,P46782,46,40S ribosomal protein S5 OS=Homo sapiens OX=9606 GN=RPS5 PE=1 SV=4,RPS5,22.9,8483
PPP1R9A,1098,400,31,31,30,Q9ULJ8,39,Neurabin-1 OS=Homo sapiens OX=9606 GN=PPP1R9A PE=1 SV=2,PPP1R9A,123.3,8479
YTHDC1,727,384,24,24,24,Q96MU7,30,YTH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=YTHDC1 PE=1 SV=3,YTHDC1,84.6,8405
RHOB,196,336,13,13,11,P62745,75,Rho-related GTP-binding protein RhoB OS=Homo sapiens OX=9606 GN=RHOB PE=1 SV=1,RHOB,22.1,8308
SAFB2,953,346,19,19,8,Q14151,27,Scaffold attachment factor B2 OS=Homo sapiens OX=9606 GN=SAFB2 PE=1 SV=1,SAFB2,107.4,8270
RAD18,495,358,19,19,19,Q9NS91,45,E3 ubiquitin-protein ligase RAD18 OS=Homo sapiens OX=9606 GN=RAD18 PE=1 SV=2,RAD18,56.2,8269
STRBP,672,298,18,18,12,Q96SI9,26,Spermatid perinuclear RNA-binding protein OS=Homo sapiens OX=9606 GN=STRBP PE=1 SV=1,STRBP,73.6,8258
PARP2,583,392,25,25,25,Q9UGN5,51,Poly [ADP-ribose] polymerase 2 OS=Homo sapiens OX=9606 GN=PARP2 PE=1 SV=2,PARP2,66.2,8234
RING1,406,275,12,12,10,Q06587,40,E3 ubiquitin-protein ligase RING1 OS=Homo sapiens OX=9606 GN=RING1 PE=1 SV=2,RING1,42.4,8232
CLINT1,625,311,16,16,16,Q14677,30,Clathrin interactor 1 OS=Homo sapiens OX=9606 GN=CLINT1 PE=1 SV=1,CLINT1,68.2,8229
RPL23,140,223,6,6,6,P62829,46,60S ribosomal protein L23 OS=Homo sapiens OX=9606 GN=RPL23 PE=1 SV=1,RPL23,14.9,8196
RPL9,192,325,9,9,9,P32969,57,60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1,RPL9,21.9,8188
RBM17,401,324,18,18,17,Q96I25,52,Splicing factor 45 OS=Homo sapiens OX=9606 GN=RBM17 PE=1 SV=1,RBM17,44.9,8184
RPS9,194,427,15,15,15,P46781,59,40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3,RPS9,22.6,8123
HSP90AA1,732,239,16,16,7,P07900,23,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5,HSP90AA1,84.6,8104
RPL8,257,294,9,9,9,P62917,35,60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2,RPL8,28.0,8037
NIP7,180,285,9,9,9,Q9Y221,66,60S ribosome subunit biogenesis protein NIP7 homolog OS=Homo sapiens OX=9606 GN=NIP7 PE=1 SV=1,NIP7,20.4,8005
KDM1A,852,295,24,24,24,O60341,47,Lysine-specific histone demethylase 1A OS=Homo sapiens OX=9606 GN=KDM1A PE=1 SV=2,KDM1A,92.8,7971
RPS19,145,270,8,8,8,P39019,47,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2,RPS19,16.1,7892
MYL6B,208,219,8,8,6,P14649,42,Myosin light chain 6B OS=Homo sapiens OX=9606 GN=MYL6B PE=1 SV=1,MYL6B,22.8,7869
BACH1,736,306,28,28,28,O14867,45,Transcription regulator protein BACH1 OS=Homo sapiens OX=9606 GN=BACH1 PE=1 SV=2,BACH1,81.9,7813
ASPH,758,284,17,17,17,Q12797,28,Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens OX=9606 GN=ASPH PE=1 SV=3,ASPH,85.8,7784
RPL36,105,289,7,7,7,Q9Y3U8,37,60S ribosomal protein L36 OS=Homo sapiens OX=9606 GN=RPL36 PE=1 SV=3,RPL36,12.2,7754
RPL32,135,283,8,8,8,P62910,45,60S ribosomal protein L32 OS=Homo sapiens OX=9606 GN=RPL32 PE=1 SV=2,RPL32,15.9,7710
HNRNPDL,420,305,13,13,10,O14979,35,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,HNRNPDL,46.4,7710
HNRNPH3,346,261,14,14,13,P31942,62,Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens OX=9606 GN=HNRNPH3 PE=1 SV=2,HNRNPH3,36.9,7679
KHDRBS1,443,365,12,12,12,Q07666,32,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS=Homo sapiens OX=9606 GN=KHDRBS1 PE=1 SV=1",KHDRBS1,48.2,7674
XRN2,950,333,31,31,31,Q9H0D6,42,5'-3' exoribonuclease 2 OS=Homo sapiens OX=9606 GN=XRN2 PE=1 SV=1,XRN2,108.5,7661
SON,2426,382,36,36,36,P18583,21,Protein SON OS=Homo sapiens OX=9606 GN=SON PE=1 SV=4,SON,263.7,7660
GNA13,377,249,13,13,12,Q14344,38,Guanine nucleotide-binding protein subunit alpha-13 OS=Homo sapiens OX=9606 GN=GNA13 PE=1 SV=2,GNA13,44.0,7646
POLDIP3,421,317,22,22,22,Q9BY77,60,Polymerase delta-interacting protein 3 OS=Homo sapiens OX=9606 GN=POLDIP3 PE=1 SV=2,POLDIP3,46.1,7613
ARHGAP11A,1023,310,29,29,29,Q6P4F7,37,Rho GTPase-activating protein 11A OS=Homo sapiens OX=9606 GN=ARHGAP11A PE=1 SV=2,ARHGAP11A,113.8,7582
FOLR1,257,271,7,7,7,P15328,38,Folate receptor alpha OS=Homo sapiens OX=9606 GN=FOLR1 PE=1 SV=3,FOLR1,29.8,7542
RPSA,295,187,9,9,9,P08865,41,40S ribosomal protein SA OS=Homo sapiens OX=9606 GN=RPSA PE=1 SV=4,RPSA,32.8,7519
FYN,537,359,22,22,14,P06241,49,Tyrosine-protein kinase Fyn OS=Homo sapiens OX=9606 GN=FYN PE=1 SV=3,FYN,60.7,7497
SAP18,153,382,13,13,13,O00422,81,Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=1,SAP18,17.6,7481
RPL11,178,286,7,7,7,P62913,45,60S ribosomal protein L11 OS=Homo sapiens OX=9606 GN=RPL11 PE=1 SV=2,RPL11,20.2,7477
GNG12,72,251,6,6,6,Q9UBI6,76,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Homo sapiens OX=9606 GN=GNG12 PE=1 SV=3,GNG12,8.0,7434
MMTAG2,263,225,13,13,13,Q9BU76,51,Multiple myeloma tumor-associated protein 2 OS=Homo sapiens OX=9606 GN=MMTAG2 PE=1 SV=1,MMTAG2,29.4,7425
PRPF4B,1007,297,21,21,20,Q13523,24,Serine/threonine-protein kinase PRP4 homolog OS=Homo sapiens OX=9606 GN=PRPF4B PE=1 SV=3,PRPF4B,116.9,7425
RPL26,145,353,11,11,11,P61254,50,60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1,RPL26,17.2,7408
RPL27A,148,212,6,6,6,P46776,34,60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2,RPL27A,16.6,7306
RPL34,117,275,7,7,7,P49207,38,60S ribosomal protein L34 OS=Homo sapiens OX=9606 GN=RPL34 PE=1 SV=3,RPL34,13.3,7289
PPIG,754,257,11,11,11,Q13427,16,Peptidyl-prolyl cis-trans isomerase G OS=Homo sapiens OX=9606 GN=PPIG PE=1 SV=2,PPIG,88.6,7263
CUL4A,759,281,36,36,22,Q13619,46,Cullin-4A OS=Homo sapiens OX=9606 GN=CUL4A PE=1 SV=3,CUL4A,87.6,7210
RPL21,160,370,9,9,9,P46778,48,60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2,RPL21,18.6,7209
RNF2,336,231,10,10,8,Q99496,39,E3 ubiquitin-protein ligase RING2 OS=Homo sapiens OX=9606 GN=RNF2 PE=1 SV=1,RNF2,37.6,7196
CETN2,172,267,10,10,10,P41208,58,Centrin-2 OS=Homo sapiens OX=9606 GN=CETN2 PE=1 SV=1,CETN2,19.7,7187
RAC1,192,322,9,9,8,P63000,44,Ras-related C3 botulinum toxin substrate 1 OS=Homo sapiens OX=9606 GN=RAC1 PE=1 SV=1,RAC1,21.4,7172
FUS,526,252,8,8,6,P35637,22,RNA-binding protein FUS OS=Homo sapiens OX=9606 GN=FUS PE=1 SV=1,FUS,53.4,7163
CHD7,2997,334,50,50,46,Q9P2D1,21,Chromodomain-helicase-DNA-binding protein 7 OS=Homo sapiens OX=9606 GN=CHD7 PE=1 SV=3,CHD7,335.7,7094
SNRPB,240,225,8,8,8,P14678,25,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2,SNRPB,24.6,7025
RPL15,204,271,8,8,8,P61313,35,60S ribosomal protein L15 OS=Homo sapiens OX=9606 GN=RPL15 PE=1 SV=2,RPL15,24.1,6976
C7orf50,194,255,8,8,8,Q9BRJ6,56,Uncharacterized protein C7orf50 OS=Homo sapiens OX=9606 GN=C7orf50 PE=1 SV=1,C7orf50,22.1,6947
CHTOP,248,258,8,8,8,Q9Y3Y2,33,Chromatin target of PRMT1 protein OS=Homo sapiens OX=9606 GN=CHTOP PE=1 SV=2,CHTOP,26.4,6900
JUND,347,267,9,9,8,P17535,44,Transcription factor JunD OS=Homo sapiens OX=9606 GN=JUND PE=1 SV=3,JUND,35.2,6885
TRA2A,282,258,10,10,7,Q13595,29,Transformer-2 protein homolog alpha OS=Homo sapiens OX=9606 GN=TRA2A PE=1 SV=1,TRA2A,32.7,6874
HSPB1,205,227,12,12,12,P04792,64,Heat shock protein beta-1 OS=Homo sapiens OX=9606 GN=HSPB1 PE=1 SV=2,HSPB1,22.8,6866
RPL13A,203,410,10,10,10,P40429,40,60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,RPL13A,23.6,6849
ATP5F1A,553,190,14,14,14,P25705,26,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1",ATP5F1A,59.7,6824
LMNA,664,250,21,21,21,P02545,38,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1,LMNA,74.1,6822
SNRPD3,126,187,4,4,4,P62318,48,Small nuclear ribonucleoprotein Sm D3 OS=Homo sapiens OX=9606 GN=SNRPD3 PE=1 SV=1,SNRPD3,13.9,6778
RCC1,421,182,13,13,13,P18754,55,Regulator of chromosome condensation OS=Homo sapiens OX=9606 GN=RCC1 PE=1 SV=1,RCC1,44.9,6766
TFAP2C,450,227,14,14,9,Q92754,34,Transcription factor AP-2 gamma OS=Homo sapiens OX=9606 GN=TFAP2C PE=1 SV=1,TFAP2C,49.1,6702
RSRC2,434,204,8,8,8,Q7L4I2,22,Arginine/serine-rich coiled-coil protein 2 OS=Homo sapiens OX=9606 GN=RSRC2 PE=1 SV=1,RSRC2,50.5,6696
ARGLU1,273,281,9,9,9,Q9NWB6,22,Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,ARGLU1,33.2,6686
SMU1,513,227,14,14,14,Q2TAY7,35,WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1 PE=1 SV=2,SMU1,57.5,6661
SIN3A,1273,290,32,32,32,Q96ST3,35,Paired amphipathic helix protein Sin3a OS=Homo sapiens OX=9606 GN=SIN3A PE=1 SV=2,SIN3A,145.1,6661
SLC25A6,298,310,14,14,3,P12236,45,ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,SLC25A6,32.8,6660
SNU13,128,277,6,6,6,P55769,68,NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3,SNU13,14.2,6622
PPAN,473,214,11,11,11,Q9NQ55,29,Suppressor of SWI4 1 homolog OS=Homo sapiens OX=9606 GN=PPAN PE=2 SV=1,PPAN,53.2,6598
LUC7L,371,315,13,13,7,Q9NQ29,35,Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens OX=9606 GN=LUC7L PE=1 SV=1,LUC7L,43.7,6586
RALA,206,262,11,11,7,P11233,54,Ras-related protein Ral-A OS=Homo sapiens OX=9606 GN=RALA PE=1 SV=1,RALA,23.6,6575
RPL22,128,162,5,5,5,P35268,55,60S ribosomal protein L22 OS=Homo sapiens OX=9606 GN=RPL22 PE=1 SV=2,RPL22,14.8,6573
SNRNP70,437,374,19,19,19,P08621,46,U1 small nuclear ribonucleoprotein 70 kDa OS=Homo sapiens OX=9606 GN=SNRNP70 PE=1 SV=2,SNRNP70,51.5,6571
RBBP5,538,295,20,20,20,Q15291,49,Retinoblastoma-binding protein 5 OS=Homo sapiens OX=9606 GN=RBBP5 PE=1 SV=2,RBBP5,59.1,6559
NUSAP1,441,241,14,14,14,Q9BXS6,38,Nucleolar and spindle-associated protein 1 OS=Homo sapiens OX=9606 GN=NUSAP1 PE=1 SV=1,NUSAP1,49.4,6531
LENG8,800,259,21,21,21,Q96PV6,33,Leukocyte receptor cluster member 8 OS=Homo sapiens OX=9606 GN=LENG8 PE=1 SV=3,LENG8,88.1,6530
SLTM,1034,353,26,26,26,Q9NWH9,29,SAFB-like transcription modulator OS=Homo sapiens OX=9606 GN=SLTM PE=1 SV=2,SLTM,117.1,6530
HIP1,1037,265,18,18,18,O00291,22,Huntingtin-interacting protein 1 OS=Homo sapiens OX=9606 GN=HIP1 PE=1 SV=5,HIP1,116.1,6525
RPS11,158,319,11,11,11,P62280,56,40S ribosomal protein S11 OS=Homo sapiens OX=9606 GN=RPS11 PE=1 SV=3,RPS11,18.4,6514
GNL3L,582,301,21,21,20,Q9NVN8,44,Guanine nucleotide-binding protein-like 3-like protein OS=Homo sapiens OX=9606 GN=GNL3L PE=1 SV=1,GNL3L,65.5,6511
TTF1,905,241,22,22,22,Q15361,34,Transcription termination factor 1 OS=Homo sapiens OX=9606 GN=TTF1 PE=1 SV=3,TTF1,103.0,6502
RPS16,146,237,8,8,8,P62249,52,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2,RPS16,16.4,6502
RPS25,125,198,4,4,4,P62851,28,40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1,RPS25,13.7,6501
SART1,800,181,17,17,16,O43290,29,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens OX=9606 GN=SART1 PE=1 SV=1,SART1,90.2,6488
EWSR1,656,199,7,7,7,Q01844,14,RNA-binding protein EWS OS=Homo sapiens OX=9606 GN=EWSR1 PE=1 SV=1,EWSR1,68.4,6462
SKP1,163,309,12,12,12,P63208,76,S-phase kinase-associated protein 1 OS=Homo sapiens OX=9606 GN=SKP1 PE=1 SV=2,SKP1,18.6,6431
NTHL1,312,201,13,13,13,P78549,53,Endonuclease III-like protein 1 OS=Homo sapiens OX=9606 GN=NTHL1 PE=1 SV=2,NTHL1,34.4,6405
DNTTIP2,756,185,14,14,14,Q5QJE6,27,Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens OX=9606 GN=DNTTIP2 PE=1 SV=2,DNTTIP2,84.4,6384
ZNF326,582,272,15,15,15,Q5BKZ1,33,DBIRD complex subunit ZNF326 OS=Homo sapiens OX=9606 GN=ZNF326 PE=1 SV=2,ZNF326,65.6,6347
SRSF11,484,278,7,7,7,Q05519,17,Serine/arginine-rich splicing factor 11 OS=Homo sapiens OX=9606 GN=SRSF11 PE=1 SV=1,SRSF11,53.5,6336
NMNAT1,279,261,13,13,13,Q9HAN9,54,Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1 OS=Homo sapiens OX=9606 GN=NMNAT1 PE=1 SV=1,NMNAT1,31.9,6332
RBMX2,322,215,9,9,9,Q9Y388,30,"RNA-binding motif protein, X-linked 2 OS=Homo sapiens OX=9606 GN=RBMX2 PE=1 SV=2",RBMX2,37.3,6329
JUN,331,165,8,8,7,P05412,45,Transcription factor Jun OS=Homo sapiens OX=9606 GN=JUN PE=1 SV=2,JUN,35.7,6313
EXOSC10,885,223,25,25,25,Q01780,36,Exosome component 10 OS=Homo sapiens OX=9606 GN=EXOSC10 PE=1 SV=2,EXOSC10,100.8,6304
KPNA2,529,217,11,11,11,P52292,27,Importin subunit alpha-1 OS=Homo sapiens OX=9606 GN=KPNA2 PE=1 SV=1,KPNA2,57.8,6275
CPM,443,295,13,13,13,P14384,35,Carboxypeptidase M OS=Homo sapiens OX=9606 GN=CPM PE=1 SV=2,CPM,50.5,6264
SNRNP40,357,326,12,12,11,Q96DI7,45,U5 small nuclear ribonucleoprotein 40 kDa protein OS=Homo sapiens OX=9606 GN=SNRNP40 PE=1 SV=1,SNRNP40,39.3,6251
BOP1,746,289,18,18,18,Q14137,39,Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2,BOP1,83.6,6250
DSG1,1049,215,17,17,17,Q02413,20,Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2,DSG1,113.7,6242
MEN1,615,229,17,17,17,O00255,37,Menin OS=Homo sapiens OX=9606 GN=MEN1 PE=1 SV=4,MEN1,68.0,6227
COIL,576,271,14,14,14,P38432,27,Coilin OS=Homo sapiens OX=9606 GN=COIL PE=1 SV=1,COIL,62.6,6160
FCHO2,810,303,18,18,18,Q0JRZ9,35,F-BAR domain only protein 2 OS=Homo sapiens OX=9606 GN=FCHO2 PE=1 SV=2,FCHO2,88.9,6149
SENP3,574,228,13,13,13,Q9H4L4,38,Sentrin-specific protease 3 OS=Homo sapiens OX=9606 GN=SENP3 PE=1 SV=2,SENP3,65.0,6127
IGF2BP3,579,206,11,11,9,O00425,26,Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2,IGF2BP3,63.7,6125
WDR18,432,261,11,11,11,Q9BV38,34,WD repeat-containing protein 18 OS=Homo sapiens OX=9606 GN=WDR18 PE=1 SV=2,WDR18,47.4,6081
PHF6,365,313,14,14,14,Q8IWS0,42,PHD finger protein 6 OS=Homo sapiens OX=9606 GN=PHF6 PE=1 SV=1,PHF6,41.3,6048
PNISR,805,250,17,17,17,Q8TF01,23,Arginine/serine-rich protein PNISR OS=Homo sapiens OX=9606 GN=PNISR PE=1 SV=2,PNISR,92.5,5996
ACTR3,418,261,15,15,11,P61158,53,Actin-related protein 3 OS=Homo sapiens OX=9606 GN=ACTR3 PE=1 SV=3,ACTR3,47.3,5991
ZFC3H1,1989,237,30,30,30,O60293,20,Zinc finger C3H1 domain-containing protein OS=Homo sapiens OX=9606 GN=ZFC3H1 PE=1 SV=3,ZFC3H1,226.2,5984
